Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (3 Hz),WE current filtered [A] (2 Hz),WE current filtered [A] (1 Hz)
-0.4314039999999999,1.860241e-06,3.56123e-07,-1.504118e-06,1.8183569395939708e-06,1.8880196082910032e-06,2.134437580733475e-06
-0.4303289999999999,1.928053e-06,4.30935e-07,-1.497118e-06,1.803399133519606e-06,1.8908000360414835e-06,2.1094266082790995e-06
-0.429255,1.756117e-06,5.5606e-07,-1.200057e-06,1.7922591925520401e-06,1.8930502190033598e-06,2.0844068553722285e-06
-0.42818,1.746492e-06,6.08122e-07,-1.138369e-06,1.7849562939389545e-06,1.8946755533801537e-06,2.059456967982364e-06
-0.427106,1.795054e-06,5.87559e-07,-1.207494e-06,1.7813791663219437e-06,1.8955993002765576e-06,2.03465239020229e-06
-0.426031,1.750429e-06,5.07497e-07,-1.242931e-06,1.7812925629783198e-06,1.8957621588519981e-06,2.0100652333989534e-06
-0.424957,1.677805e-06,4.27435e-07,-1.250369e-06,1.7843477799872908e-06,1.895121677687313e-06,1.985764160816397e-06
-0.423882,1.615242e-06,3.57873e-07,-1.257369e-06,1.7900968507740088e-06,1.8936515308095082e-06,1.9618142875739405e-06
-0.4228079999999999,1.64893e-06,3.8106e-07,-1.267869e-06,1.798009937236268e-06,1.8913406821605428e-06,1.9382770959414773e-06
-0.4217329999999999,1.735117e-06,4.6506e-07,-1.270056e-06,1.807495334417011e-06,1.8881924592873441e-06,1.915210365715134e-06
-0.420659,1.833116e-06,5.521219999999999e-07,-1.280994e-06,1.8179214139051513e-06,1.8842235538397522e-06,1.8926681194608183e-06
-0.4195839999999999,1.881679e-06,5.92372e-07,-1.289306e-06,1.8286397560293333e-06,1.8794629632854448e-06,1.8707005823407052e-06
-0.41851,1.917116e-06,6.27372e-07,-1.289744e-06,1.839008668643016e-06,1.8739508852910429e-06,1.8493541561886893e-06
-0.417435,1.937678e-06,6.53622e-07,-1.284056e-06,1.8484162664945909e-06,1.8677375736621019e-06,1.8286714074555306e-06
-0.416361,1.949053e-06,6.71121e-07,-1.277931e-06,1.8563022933399358e-06,1.860882162719529e-06,1.808691068602982e-06
-0.415286,1.958241e-06,6.80309e-07,-1.277931e-06,1.8621779098087542e-06,1.8534514655930405e-06,1.7894480524887024e-06
-0.4142119999999999,1.956491e-06,6.85996e-07,-1.270494e-06,1.8656427417775776e-06,1.8455187511529198e-06,1.7709734792502407e-06
-0.413137,1.947741e-06,6.978089999999999e-07,-1.249931e-06,1.8663985830478363e-06,1.837162504153451e-06,1.7532947151667674e-06
-0.4120629999999999,1.964366e-06,7.08309e-07,-1.256056e-06,1.8642592678583826e-06,1.82846517356653e-06,1.7364354229514477e-06
-0.410989,1.944678e-06,7.09621e-07,-1.235056e-06,1.8591563680641287e-06,1.8195119149611255e-06,1.7204156229052605e-06
-0.409914,1.945116e-06,7.118089999999999e-07,-1.233306e-06,1.8511405214026524e-06,1.8103893340369718e-06,1.7052517643445384e-06
-0.40884,1.925428e-06,7.131209999999999e-07,-1.212307e-06,1.8403783558501946e-06,1.8011842399415403e-06,1.6909568066993138e-06
-0.407765,1.914053e-06,7.09184e-07,-1.204869e-06,1.827145135356904e-06,1.7919824186718417e-06,1.6775403096675717e-06
-0.4066909999999999,1.896116e-06,7.12246e-07,-1.183869e-06,1.811813408975547e-06,1.7828674385647395e-06,1.665008531801483e-06
-0.405616,1.881679e-06,7.08309e-07,-1.173369e-06,1.7948380933028028e-06,1.7739195014854333e-06,1.6533645368954246e-06
-0.4045419999999999,1.851491e-06,6.95621e-07,-1.155869e-06,1.7767385520343927e-06,1.7652143547075398e-06,1.642608307541855e-06
-0.4034669999999999,1.795929e-06,6.85996e-07,-1.109932e-06,1.7580783511736503e-06,1.7568222795164503e-06,1.6327368652196954e-06
-0.402393,1.723742e-06,6.57122e-07,-1.06662e-06,1.7394434590251872e-06,1.7488071731426704e-06,1.6237443962805364e-06
-0.401318,1.621367e-06,6.21247e-07,-1.00012e-06,1.7214197217924015e-06,1.7412257406359453e-06,1.6156223832005107e-06
-0.400244,1.48093e-06,5.521219999999999e-07,-9.28808e-07,1.7045704742112432e-06,1.7341268126338654e-06,1.608359740469887e-06
-0.399169,1.425368e-06,4.90872e-07,-9.34495e-07,1.6894151372815947e-06,1.7275508036002674e-06,1.6019429544981304e-06
-0.398095,1.590305e-06,4.52372e-07,-1.137932e-06,1.6764096111006063e-06,1.7215293229963282e-06,1.5963562269192305e-06
-0.39702,1.645867e-06,4.19998e-07,-1.225869e-06,1.665929192498e-06,1.7160849490515075e-06,1.591581620690451e-06
-0.3959459999999999,1.719804e-06,4.9481e-07,-1.224994e-06,1.6582546404499942e-06,1.7112311714406824e-06,1.5875992083872784e-06
-0.3948709999999999,1.615242e-06,6.181839999999999e-07,-9.97058e-07,1.6535618852418352e-06,1.7069725054147243e-06,1.5843872221083118e-06
-0.393797,1.58243e-06,6.98684e-07,-8.83746e-07,1.651915738258046e-06,1.7033047759502603e-06,1.5819222044161667e-06
-0.3927219999999999,1.619617e-06,6.63684e-07,-9.55933e-07,1.6532678142500554e-06,1.7002155664277605e-06,1.5801791597541975e-06
-0.391648,1.587242e-06,5.83184e-07,-1.004058e-06,1.657458730443863e-06,1.697684822322022e-06,1.5791317057939555e-06
-0.390573,1.511555e-06,4.81685e-07,-1.02987e-06,1.664224498729162e-06,1.6956855964764738e-06,1.578752224184738e-06
-0.389499,1.474368e-06,4.3356e-07,-1.040807e-06,1.673206880090182e-06,1.6941849188112e-06,1.5790120101943509e-06
-0.388424,1.548305e-06,4.90872e-07,-1.057432e-06,1.6839673269429433e-06,1.6931447698758243e-06,1.5798814207492123e-06
-0.3873499999999999,1.641492e-06,5.64809e-07,-1.076682e-06,1.6960040030420073e-06,1.6925231346129492e-06,1.5813300204022175e-06
-0.386275,1.722867e-06,6.32622e-07,-1.090245e-06,1.7087712476254399e-06,1.6922751101773662e-06,1.5833267247783408e-06
-0.3852009999999999,1.781929e-06,6.75497e-07,-1.106432e-06,1.7217007473716902e-06,1.6923540398074538e-06,1.5858399410708144e-06
-0.3841259999999999,1.815179e-06,7.01746e-07,-1.113432e-06,1.7342236037554482e-06,1.6927126437103364e-06,1.5888377051849128e-06
-0.383052,1.839241e-06,7.21434e-07,-1.117807e-06,1.745792440433877e-06,1.6933041178106016e-06,1.5922878151519028e-06
-0.3819769999999999,1.854991e-06,7.40246e-07,-1.114745e-06,1.7559026887210006e-06,1.6940831720769173e-06,1.5961579604625186e-06
-0.380903,1.865929e-06,7.50309e-07,-1.11562e-06,1.764112219418584e-06,1.6950069819724263e-06,1.6004158469972736e-06
-0.3798289999999999,1.875991e-06,7.65621e-07,-1.11037e-06,1.7700585541504955e-06,1.696036029308844e-06,1.6050293172598778e-06
-0.378754,1.874241e-06,7.625589999999999e-07,-1.111682e-06,1.7734729850214354e-06,1.697134812314862e-06,1.609966465649773e-06
-0.3776799999999999,1.864616e-06,7.66496e-07,-1.09812e-06,1.7741910529557274e-06,1.6982724089223483e-06,1.6151957485401079e-06
-0.3766049999999999,1.868554e-06,7.72184e-07,-1.09637e-06,1.7721589769573048e-06,1.6994228819759605e-06,1.6206860889581172e-06
-0.375531,1.865929e-06,7.78309e-07,-1.08762e-06,1.767435782991407e-06,1.7005655201187218e-06,1.626406975695591e-06
-0.3744559999999999,1.851054e-06,7.73934e-07,-1.07712e-06,1.7601910463849439e-06,1.701684913327818e-06,1.6323285567076385e-06
-0.373382,1.850616e-06,7.778709999999999e-07,-1.072745e-06,1.750698329803889e-06,1.7027708673002837e-06,1.638421726688068e-06
-0.372307,1.830491e-06,7.76996e-07,-1.053495e-06,1.739324564320713e-06,1.7038181659484235e-06,1.644658208739149e-06
-0.371233,1.811241e-06,7.74371e-07,-1.03687e-06,1.7265157782311603e-06,1.7048261959951458e-06,1.6510106300820525e-06
