Applied potential [V];WE current [A];WE current [A];WE current [A];WE current [A]
-0.030023338000000004;1.352794e-06;5.213897e-06;4.11475e-06;4.4830116e-05
-0.029022560000000003;1.5876549999999999e-06;6.360014e-06;3.785946e-06;4.9480352e-05
-0.028021782000000002;1.474922e-06;6.378803e-06;3.56048e-06;4.9104572e-05
-0.027021004;1.380978e-06;6.303648e-06;3.419564e-06;4.8616064e-05
-0.026020226;1.334006e-06;6.303648e-06;3.316226e-06;4.858788e-05
-0.025019448000000003;1.277639e-06;6.247282e-06;3.241071e-06;4.8390596e-05
-0.024018670000000002;1.249456e-06;6.190915e-06;3.1753099999999998e-06;4.8409388e-05
-0.023017892;1.221273e-06;6.2284919999999995e-06;3.128338e-06;4.8719404e-05
-0.022017114;1.202484e-06;6.200309e-06;3.09076e-06;4.8766376e-05
-0.021016336;1.193089e-06;6.209704e-06;3.062577e-06;4.9151547999999997e-05
-0.020015558000000003;1.183695e-06;6.1627319999999995e-06;3.034394e-06;4.919852e-05
-0.019014782;1.164906e-06;6.125154e-06;3.024999e-06;4.9536716e-05
-0.018014002;1.164906e-06;6.172126e-06;3.015605e-06;4.98937e-05
-0.017013224;1.164906e-06;6.1533369999999996e-06;3.015605e-06;5.0053408e-05
-0.016012447000000003;1.155512e-06;6.1533369999999996e-06;3.00621e-06;5.0588888e-05
-0.015011669000000002;1.146117e-06;6.11576e-06;2.996816e-06;5.0635863999999996e-05
-0.014010891000000001;1.146117e-06;6.106365e-06;3.015605e-06;5.1002244e-05
-0.013010113;1.136723e-06;6.1533369999999996e-06;3.024999e-06;5.1340444e-05
-0.012009335000000001;1.136723e-06;6.11576e-06;3.034394e-06;5.1537724e-05
-0.011008557;1.127329e-06;6.134548e-06;3.0531819999999998e-06;5.1951079999999997e-05
-0.010007779000000001;1.136723e-06;6.087576e-06;3.071971e-06;5.1979264e-05
-0.009007001;1.127329e-06;6.087576e-06;3.0813659999999997e-06;5.2261092e-05
-0.008006223;1.127329e-06;6.134549e-06;3.109549e-06;5.2533536e-05
-0.007005445000000001;1.117934e-06;6.096971e-06;3.137732e-06;5.2702636e-05
-0.006004667;1.117934e-06;6.134549e-06;3.165915e-06;5.3012648e-05
-0.005003889;1.117934e-06;6.096971e-06;3.203493e-06;5.3050224e-05
-0.004003111;1.117934e-06;6.068788e-06;3.2410699999999998e-06;5.3172352e-05
-0.0030023330000000003;1.117934e-06;6.11576e-06;3.2692539999999998e-06;5.3491763999999996e-05
-0.002001555;1.117934e-06;6.087576e-06;3.316226e-06;5.3623284e-05
-0.001000777;1.117934e-06;6.125154e-06;3.3631979999999998e-06;5.3820564e-05
0.0;1.117934e-06;6.106365e-06;3.41017e-06;5.389572e-05
