Voltage [V],Current [uA]
-0.050038896,59.832988
-0.051039672,60.669096
-0.052040452,60.969708
-0.053041232,61.166996
-0.054042008,61.242148
-0.055042784,61.326696
-0.056043564,61.364276
-0.057044344,61.383068
-0.05804512,61.411248
-0.059045896,61.420644
-0.060046676,61.420644
-0.061047452,61.430036
-0.062048232,61.411248
-0.063049012,61.420644
-0.064049788,61.420644
-0.065050564,61.420644
-0.06605134,61.401856
-0.06705212,61.430036
-0.068052896,61.401856
-0.06905368,61.420644
-0.070054456,61.411248
-0.071055232,61.411248
-0.072056008,61.411248
-0.073056784,61.401854
-0.074057568,61.392464
-0.075058344,61.392456
-0.076059128,61.383064
-0.077059904,61.373668
-0.07806068,61.373668
-0.079061456,61.383068
-0.080062232,61.477008
-0.081063008,61.495804
-0.082063784,61.505188
-0.083064568,61.486404
-0.084065344,61.477008
-0.085066128,61.495804
-0.086066904,61.495804
-0.08706768,61.486404
-0.088068456,61.458216
-0.089069232,61.486404
-0.090070008,61.477008
-0.091070792,61.467616
-0.092071568,61.495804
-0.093072344,61.477008
-0.094073128,61.505196
-0.095073904,61.486404
-0.09607468,61.486404
-0.097075456,61.484055
-0.09807624,61.477008
-0.099077016,61.486404
-0.100077792,61.477008
-0.101078568,61.467616
-0.102079344,61.486404
-0.10308012,61.458224
-0.104080904,61.467616
-0.105081688,61.486404
-0.106082464,61.467616
-0.10708324,61.477008
-0.108084016,61.467616
-0.109084792,61.467616
-0.110085568,61.458224
-0.111086344,61.448828
-0.112087128,61.458224
-0.113087904,61.448828
-0.114088688,61.458216
-0.115089464,61.486404
-0.11609024,61.448828
-0.117091016,61.467616
-0.118091792,61.477008
-0.119092576,61.458216
-0.120093352,61.458224
-0.121094128,61.45822
-0.122094904,61.458216
-0.12309568,61.458224
-0.124096464,61.467616
-0.125097248,61.448828
-0.126098024,61.458224
-0.1270988,61.458224
-0.128099576,61.477008
-0.129100352,61.4089
-0.130101128,61.345484
-0.131101904,61.354884
-0.13210268,61.373668
-0.133103464,61.345488
-0.13410424,61.354884
-0.135105,61.345488
-0.136105,61.354884
-0.137106,61.345488
-0.138107,61.345484
-0.139108,61.347835
-0.140108,61.345484
-0.141109,61.354884
-0.14211,61.364276
-0.143111,61.373668
-0.144112,61.354884
-0.145112,61.364276
-0.146113,61.364276
-0.147114,61.354884
-0.148115,61.364276
-0.149115,61.345488
-0.150116,61.345488
-0.151117,61.364276
-0.152118,61.373668
-0.153119,61.354884
-0.154119,61.364276
-0.15512,61.354884
-0.156121,61.364276
-0.157122,61.373668
-0.158122,61.373668
-0.159123,61.364276
-0.160124,61.364276
-0.161125,61.345488
-0.162126,61.345488
-0.163126,61.364276
-0.164127,61.364276
-0.165128,61.345488
-0.166129,61.383068
-0.167129,61.364276
-0.16813,61.373668
-0.169131,61.383068
-0.170132,61.364276
-0.171133,61.336096
-0.172133,61.383068
-0.173134,61.364276
-0.174135,61.345488
-0.17513600000000001,61.383068
-0.176136,61.373668
-0.177137,61.345488
-0.178138,61.373668
-0.179139,61.354884
-0.18014,61.373668
-0.18114,61.383064
-0.182141,61.364276
-0.183142,61.354884
-0.184143,61.352534
-0.185143,61.345488
-0.186144,61.3566435
-0.187145,61.364276
-0.188146,61.364276
-0.189147,61.354884
-0.190147,61.373668
-0.191148,61.364276
-0.192149,61.364276
-0.19315,61.364276
-0.19415,61.383068
-0.195151,61.354884
-0.196152,61.392456
-0.197153,61.373668
-0.198154,61.364276
-0.199154,61.373668
-0.200155,61.392456
-0.201156,61.383068
-0.202157,61.373668
-0.203157,61.364276
-0.204158,61.364276
-0.205159,61.383068
-0.20616,61.383064
-0.207161,61.392464
-0.208161,61.383064
-0.209162,61.373668
-0.210163,61.392464
-0.211164,61.401856
-0.212164,61.373668
-0.213165,61.383068
-0.214166,61.364276
-0.215167,61.401856
-0.216168,61.373668
-0.217168,61.420644
-0.218169,61.392464
-0.21917,61.383064
-0.220171,61.401856
-0.221171,61.411248
-0.222172,61.373668
-0.223173,61.392456
-0.224174,61.401856
-0.225175,61.411248
-0.226175,61.420644
-0.227176,61.420644
-0.228177,61.401856
-0.229178,61.392464
-0.230178,61.411248
-0.231179,61.401856
-0.23218,61.411248
-0.233181,61.420644
-0.234182,61.401856
-0.235182,61.411248
-0.236183,61.411248
-0.237184,61.418294
-0.238185,61.420644
-0.239185,61.430036
-0.240186,61.411248
-0.241187,61.430036
-0.242188,61.420644
-0.243189,61.430044
-0.244189,61.420644
-0.24519,61.420644
-0.246191,61.430036
-0.247192,61.430044
-0.248192,61.42769
-0.249193,61.4294515
-0.250194,61.430036
-0.251195,61.430036
-0.252196,61.430036
-0.253196,61.427688
-0.254197,61.420644
-0.255198,61.430036
-0.256199,61.448828
-0.257199,61.439428
-0.2582,61.420644
-0.259201,61.458224
-0.260202,61.439428
-0.261203,61.430036
-0.262203,61.44178
-0.263204,61.448828
-0.264205,61.448828
-0.265206,61.453524
-0.266206,61.467616
-0.267207,61.448824
-0.268208,61.467616
-0.269209,61.458216
-0.27021,61.467616
-0.27121,61.486404
-0.272211,61.458216
-0.273212,61.439428
-0.274213,61.486404
-0.275213,61.467616
-0.276214,61.458216
-0.277215,61.486404
-0.278216,61.458224
-0.279217,61.486404
-0.280217,61.514588
-0.281218,61.505196
-0.282219,61.467616
-0.28322,61.495804
-0.28422,61.477008
-0.285221,61.448828
-0.286222,61.495804
