Voltage [V],Current [uA]
-0.050038896,-0.103347696
-0.051039672,-0.704603
-0.052040452,-0.920641
-0.053041232,66.831828
-0.054042008,127.848496
-0.055042784,118.641984
-0.056043564,112.216216
-0.057044344,107.725688
-0.05804512,104.409456
-0.059045896,102.08904
-0.060046676,100.238336
-0.061047452,98.92312
-0.062048232,97.880344
-0.063049012,97.156976
-0.064049788,96.518152
-0.065050564,96.067224
-0.06605134,95.747808
-0.06705212,95.400216
-0.068052896,95.212328
-0.06905368,95.005656
-0.070054456,94.902312
-0.071055232,94.789584
-0.072056008,94.742608
-0.073056784,94.62048
-0.074057568,94.582912
-0.075058344,94.55472
-0.076059128,94.47956
-0.077059904,94.470176
-0.07806068,94.34804
-0.079061456,94.385624
-0.080062232,94.460776
-0.081063008,94.545328
-0.082063784,94.451392
-0.083064568,94.49836
-0.084065344,94.48896
-0.085066128,94.451384
-0.086066904,94.451392
-0.08706768,94.4232
-0.088068456,94.441992
-0.089069232,94.4232
-0.090070008,94.385624
-0.091070792,94.395016
-0.092071568,94.395016
-0.093072344,94.404408
-0.094073128,94.4138
-0.095073904,94.35744
-0.09607468,94.376232
-0.097075456,94.395016
-0.09807624,94.35744
-0.099077016,94.385624
-0.100077792,94.319864
-0.101078568,94.34804
-0.102079344,94.376232
-0.10308012,94.35744
-0.104080904,94.338648
-0.105081688,94.319864
-0.106082464,94.366832
-0.10708324,94.338648
-0.108084016,94.34804
-0.109084792,94.319864
-0.110085568,94.34804
-0.111086344,94.329256
-0.112087128,94.35744
-0.113087904,94.329256
-0.114088688,94.319856
-0.115089464,94.329256
-0.11609024,94.310472
-0.117091016,94.338656
-0.118091792,94.319856
-0.119092576,94.329256
-0.120093352,94.338648
-0.121094128,94.34804
-0.122094904,94.319864
-0.12309568,94.329256
-0.124096464,94.30108
-0.125097248,94.329256
-0.126098024,94.338656
-0.1270988,94.355094
-0.128099576,94.376232
-0.129100352,94.2746555
-0.130101128,94.188344
-0.131101904,94.178952
-0.13210268,94.178952
-0.133103464,94.178952
-0.13410424,94.167206
-0.135105,94.15076
-0.136105,94.16016
-0.137106,94.15076
-0.138107,94.188336
-0.139108,94.197736
-0.140108,94.169552
-0.141109,94.188344
-0.14211,94.178952
-0.143111,94.178952
-0.144112,94.181298
-0.145112,94.178952
-0.146113,94.188336
-0.147114,94.178952
-0.148115,94.188344
-0.149115,94.15076
-0.150116,94.178952
-0.151117,94.207128
-0.152118,94.178952
-0.153119,94.197736
-0.154119,94.188336
-0.15512,94.207128
-0.156121,94.188336
-0.157122,94.15076
-0.158122,94.207128
-0.159123,94.169552
-0.160124,94.207128
-0.161125,94.207128
-0.162126,94.200082
-0.163126,94.197736
-0.164127,94.188336
-0.165128,94.193038
-0.166129,94.188344
-0.167129,94.197736
-0.16813,94.169552
-0.169131,94.225912
-0.170132,94.197736
-0.171133,94.188336
-0.172133,94.188344
-0.173134,94.169552
-0.174135,94.21652
-0.17513600000000001,94.16016
-0.176136,94.197736
-0.177137,94.207128
-0.178138,94.197736
-0.179139,94.197736
-0.18014,94.211828
-0.18114,94.22592
-0.182141,94.22592
-0.183142,94.22592
-0.184143,94.197736
-0.185143,94.235312
-0.186144,94.178952
-0.187145,94.188344
-0.188146,94.188344
-0.189147,94.21652
-0.190147,94.22592
-0.191148,94.22592
-0.192149,94.254104
-0.19315,94.207128
-0.19415,94.244712
-0.195151,94.197736
-0.196152,94.244712
-0.197153,94.21652
-0.198154,94.272888
-0.199154,94.244712
-0.200155,94.22592
-0.201156,94.263496
-0.202157,94.21652
-0.203157,94.263496
-0.204158,94.235312
-0.205159,94.272888
-0.20616,94.263496
-0.207161,94.272888
-0.208161,94.244712
-0.209162,94.263496
-0.210163,94.28228
-0.211164,94.254096
-0.212164,94.272888
-0.213165,94.235312
-0.214166,94.301072
-0.215167,94.244712
-0.216168,94.28228
-0.217168,94.28228
-0.218169,94.301072
-0.21917,94.30108
-0.220171,94.254104
-0.221171,94.29168
-0.222172,94.244712
-0.223173,94.301072
-0.224174,94.28228
-0.225175,94.301072
-0.226175,94.272896
-0.227176,94.29168
-0.228177,94.329256
-0.229178,94.30108
-0.230178,94.329256
-0.231179,94.28228
-0.23218,94.329256
-0.233181,94.338648
-0.234182,94.329256
-0.235182,94.345694
-0.236183,94.34804
-0.237184,94.366832
-0.238185,94.338656
-0.239185,94.35744
-0.240186,94.329256
-0.241187,94.376232
-0.242188,94.329256
-0.243189,94.395016
-0.244189,94.35744
-0.24519,94.35744
-0.246191,94.36684
-0.247192,94.34804
-0.248192,94.36684
-0.249193,94.338648
-0.250194,94.376232
-0.251195,94.35744
-0.252196,94.404416
-0.253196,94.35744
-0.254197,94.395016
-0.255198,94.366832
-0.256199,94.395016
-0.257199,94.4138
-0.2582,94.385624
-0.259201,94.4326
-0.260202,94.376232
-0.261203,94.4232
-0.262203,94.404416
-0.263204,94.4326
-0.264205,94.4326
-0.265206,94.441992
-0.266206,94.4232
-0.267207,94.395016
-0.268208,94.451384
-0.269209,94.4326
-0.27021,94.451384
-0.27121,94.404416
-0.272211,94.4232
-0.273212,94.441992
