Voltage [V],Current [uA]
-0.050038896,-0.958214
-0.051039672,37.295796
-0.052040452,116.086712
-0.053041232,101.4878
-0.054042008,92.356424
-0.055042784,86.30644
-0.056043564,82.154096
-0.057044344,79.316992
-0.05804512,77.391136
-0.059045896,76.028952
-0.060046676,75.108296
-0.061047452,74.469472
-0.062048232,74.018544
-0.063049012,73.717928
-0.064049788,73.445488
-0.065050564,73.295176
-0.06605134,73.163648
-0.06705212,73.060312
-0.068052896,72.938192
-0.06905368,72.91
-0.070054456,72.881824
-0.071055232,72.863032
-0.072056008,72.816056
-0.073056784,72.797272
-0.074057568,72.750296
-0.075058344,72.731512
-0.076059128,72.72212
-0.077059904,72.703328
-0.07806068,72.684536
-0.079061456,72.759692
-0.080062232,72.83484
-0.081063008,72.816064
-0.082063784,72.76908
-0.083064568,72.78788
-0.084065344,72.797272
-0.085066128,72.797272
-0.086066904,72.806672
-0.08706768,72.797272
-0.088068456,72.750296
-0.089069232,72.740912
-0.090070008,72.72212
-0.091070792,72.750296
-0.092071568,72.72212
-0.093072344,72.740912
-0.094073128,72.72212
-0.095073904,72.740912
-0.09607468,72.71272
-0.097075456,72.71272
-0.09807624,72.71272
-0.099077016,72.705674
-0.100077792,72.70332
-0.101078568,72.693936
-0.102079344,72.675152
-0.10308012,72.675144
-0.104080904,72.665752
-0.105081688,72.6728
-0.106082464,72.675152
-0.10708324,72.675152
-0.108084016,72.665752
-0.109084792,72.675144
-0.110085568,72.65636
-0.111086344,72.65636
-0.112087128,72.644612
-0.113087904,72.63756
-0.114088688,72.653419
-0.115089464,72.665752
-0.11609024,72.665752
-0.117091016,72.63756
-0.118091792,72.628176
-0.119092576,72.64696
-0.120093352,72.665752
-0.121094128,72.628176
-0.122094904,72.63756
-0.12309568,72.63756
-0.124096464,72.630518
-0.125097248,72.628176
-0.126098024,72.618776
-0.1270988,72.635218
-0.128099576,72.64696
-0.129100352,72.5712165
-0.130101128,72.496648
-0.131101904,72.50604
-0.13210268,72.508392
-0.133103464,72.51544
-0.13410424,72.51544
-0.135105,72.503696
-0.136105,72.487256
-0.137106,72.496648
-0.138107,72.50604
-0.139108,72.487256
-0.140108,72.496648
-0.141109,72.524832
-0.14211,72.50604
-0.143111,72.51544
-0.144112,72.496648
-0.145112,72.487256
-0.146113,72.51544
-0.147114,72.487256
-0.148115,72.534232
-0.149115,72.524832
-0.150116,72.51544
-0.151117,72.51544
-0.152118,72.534232
-0.153119,72.534232
-0.154119,72.531884
-0.15512,72.52484
-0.156121,72.534232
-0.157122,72.543624
-0.158122,72.52484
-0.159123,72.534232
-0.160124,72.527184
-0.161125,72.524832
-0.162126,72.544208
-0.163126,72.562408
-0.164127,72.562408
-0.165128,72.543624
-0.166129,72.52484
-0.167129,72.543624
-0.16813,72.534232
-0.169131,72.54832
-0.170132,72.562408
-0.171133,72.553016
-0.172133,72.534232
-0.173134,72.51544
-0.174135,72.534232
-0.17513600000000001,72.534232
-0.176136,72.553016
-0.177137,72.5718
-0.178138,72.553016
-0.179139,72.562416
-0.18014,72.562408
-0.18114,72.555366
-0.182141,72.553016
-0.183142,72.5629955
-0.184143,72.5718
-0.185143,72.5718
-0.186144,72.5812
-0.187145,72.562416
-0.188146,72.5812
-0.189147,72.590592
-0.190147,72.562408
-0.191148,72.599992
-0.192149,72.618776
-0.19315,72.590592
-0.19415,72.5718
-0.195151,72.5812
-0.196152,72.590592
-0.197153,72.5812
-0.198154,72.599992
-0.199154,72.599992
-0.200155,72.599992
-0.201156,72.5906
-0.202157,72.609384
-0.203157,72.63756
-0.204158,72.5812
-0.205159,72.599992
-0.20616,72.618776
-0.207161,72.609384
-0.208161,72.5718
-0.209162,72.5718
-0.210163,72.609384
-0.211164,72.5812
-0.212164,72.609384
-0.213165,72.628176
-0.214166,72.618776
-0.215167,72.609384
-0.216168,72.562408
-0.217168,72.609384
-0.218169,72.5812
-0.21917,72.590592
-0.220171,72.628176
-0.221171,72.609384
-0.222172,72.61643
-0.223173,72.618776
-0.224174,72.609384
-0.225175,72.609384
-0.226175,72.609384
-0.227176,72.618776
-0.228177,72.618776
-0.229178,72.599992
-0.230178,72.599992
-0.231179,72.618776
-0.23218,72.628176
-0.233181,72.618776
-0.234182,72.618776
-0.235182,72.616428
