Voltage [V],Current [uA]
-0.050038896,95.278088
-0.051039672,96.283296
-0.052040452,96.565128
-0.053041232,96.715432
-0.054042008,96.809384
-0.055042784,96.875144
-0.056043564,96.92212
-0.057044344,96.950296
-0.05804512,97.006664
-0.059045896,96.978472
-0.060046676,97.016056
-0.061047452,97.025448
-0.062048232,97.016056
-0.063049012,97.016056
-0.064049788,97.006664
-0.065050564,97.034848
-0.06605134,97.063032
-0.06705212,97.034848
-0.068052896,97.025448
-0.06905368,97.020754
-0.070054456,97.016056
-0.071055232,97.006664
-0.072056008,97.034848
-0.073056784,97.016056
-0.074057568,97.006664
-0.075058344,97.034848
-0.076059128,97.006664
-0.077059904,96.978472
-0.07806068,96.96908
-0.079061456,97.067722
-0.080062232,97.156968
-0.081063008,97.166368
-0.082063784,97.147584
-0.083064568,97.166368
-0.084065344,97.156976
-0.085066128,97.156968
-0.086066904,97.166368
-0.08706768,97.18516
-0.088068456,97.18516
-0.089069232,97.156968
-0.090070008,97.166368
-0.091070792,97.161668
-0.092071568,97.166368
-0.093072344,97.156968
-0.094073128,97.156968
-0.095073904,97.147584
-0.09607468,97.166368
-0.097075456,97.18516
-0.09807624,97.180462
-0.099077016,97.18516
-0.100077792,97.18516
-0.101078568,97.166368
-0.102079344,97.19456
-0.10308012,97.166368
-0.104080904,97.147584
-0.105081688,97.147584
-0.106082464,97.17576
-0.10708324,97.166368
-0.108084016,97.18516
-0.109084792,97.166368
-0.110085568,97.194552
-0.111086344,97.166368
-0.112087128,97.18516
-0.113087904,97.19456
-0.114088688,97.17576
-0.115089464,97.194552
-0.11609024,97.166368
-0.117091016,97.232128
-0.118091792,97.19456
-0.119092576,97.166368
-0.120093352,97.222736
-0.121094128,97.194552
-0.122094904,97.166368
-0.12309568,97.175752
-0.124096464,97.213344
-0.125097248,97.203944
-0.126098024,97.213344
-0.1270988,97.203944
-0.128099576,97.232128
-0.129100352,97.126442
-0.130101128,97.016056
-0.131101904,97.05364
-0.13210268,97.04424
-0.133103464,97.044232
-0.13410424,97.055982
-0.135105,97.081816
-0.136105,97.05364
-0.137106,97.063032
-0.138107,97.091208
-0.139108,97.044232
-0.140108,97.072424
-0.141109,97.034848
-0.14211,97.081824
-0.143111,97.05364
-0.144112,97.072424
-0.145112,97.063032
-0.146113,97.070076
-0.147114,97.072424
-0.148115,97.072424
-0.149115,97.081816
-0.150116,97.04424
-0.151117,97.091208
-0.152118,97.063032
-0.153119,97.081824
-0.154119,97.081824
-0.15512,97.091208
-0.156121,97.109992
-0.157122,97.081824
-0.158122,97.091208
-0.159123,97.091208
-0.160124,97.109992
-0.161125,97.05364
-0.162126,97.100608
-0.163126,97.081816
-0.164127,97.091208
-0.165128,97.095908
-0.166129,97.097083
-0.167129,97.100608
-0.16813,97.100608
-0.169131,97.100604
-0.170132,97.091208
-0.171133,97.109992
-0.172133,97.128792
-0.173134,97.072424
-0.174135,97.100608
-0.17513600000000001,97.11
-0.176136,97.128792
-0.177137,97.117048
-0.178138,97.1194
-0.179139,97.11
-0.18014,97.109992
-0.18114,97.128792
-0.182141,97.100608
-0.183142,97.147584
-0.184143,97.128792
-0.185143,97.128792
-0.186144,97.147584
-0.187145,97.138184
-0.188146,97.1194
-0.189147,97.147584
-0.190147,97.128792
-0.191148,97.138184
-0.192149,97.156968
-0.19315,97.138184
-0.19415,97.156968
-0.195151,97.128792
-0.196152,97.18516
-0.197153,97.1288
-0.198154,97.166368
-0.199154,97.156968
-0.200155,97.17576
-0.201156,97.194552
-0.202157,97.156968
-0.203157,97.17576
-0.204158,97.203944
-0.205159,97.203944
-0.20616,97.189854
-0.207161,97.166368
-0.208161,97.18516
-0.209162,97.180462
-0.210163,97.18516
-0.211164,97.18516
-0.212164,97.192206
-0.213165,97.19456
-0.214166,97.1892715
-0.215167,97.18516
-0.216168,97.18516
-0.217168,97.222736
-0.218169,97.147584
-0.21917,97.203944
-0.220171,97.213344
-0.221171,97.222728
-0.222172,97.222728
-0.223173,97.213344
-0.224174,97.194552
-0.225175,97.17576
-0.226175,97.232128
-0.227176,97.19456
-0.228177,97.25092
-0.229178,97.213344
-0.230178,97.232128
-0.231179,97.222728
-0.23218,97.222736
-0.233181,97.232128
-0.234182,97.194552
-0.235182,97.260312
-0.236183,97.222728
-0.237184,97.24152
-0.238185,97.213344
-0.239185,97.222728
-0.240186,97.25092
-0.241187,97.25092
-0.242188,97.25092
-0.243189,97.26032
-0.244189,97.26032
-0.24519,97.25092
-0.246191,97.279104
-0.247192,97.26032
-0.248192,97.279104
-0.249193,97.269704
-0.250194,97.25092
-0.251195,97.269704
-0.252196,97.26032
-0.253196,97.279104
-0.254197,97.26032
-0.255198,97.269704
-0.256199,97.297888
-0.257199,97.297888
-0.2582,97.307288
-0.259201,97.297888
-0.260202,97.304936
-0.261203,97.31668
-0.262203,97.297888
-0.263204,97.269704
-0.264205,97.31668
-0.265206,97.288488
-0.266206,97.279104
-0.267207,97.31668
-0.268208,97.297888
-0.269209,97.32608
-0.27021,97.32608
-0.27121,97.31668
-0.272211,97.31668
-0.273212,97.326072
-0.274213,97.344864
-0.275213,97.335464
-0.276214,97.31668
-0.277215,97.344864
-0.278216,97.32608
-0.279217,97.335464
-0.280217,97.32608
-0.281218,97.32608
-0.282219,97.297888
-0.28322,97.269704
-0.28422,97.297888
-0.285221,97.288496
-0.286222,97.297888
-0.287223,97.297888
-0.288224,97.32608
-0.289224,97.476384
-0.290225,97.50456
-0.291226,97.504568
-0.292227,97.495168
-0.293227,97.504568
-0.294228,97.51396
-0.295229,97.52336
-0.29623,97.535098
-0.297231,97.560928
-0.298231,97.542144
-0.299232,97.532752
-0.300233,97.551544
-0.301234,97.532744
-0.302234,97.542144
-0.303235,97.560928
-0.304236,97.542144
-0.305237,97.551536
-0.306238,97.551536
-0.307238,97.551544
-0.308239,97.560934
-0.30924,97.570328
-0.310241,97.570328
-0.311241,97.551544
-0.312242,97.542144
-0.313243,97.560928
-0.314244,97.551536
-0.315245,97.598512
-0.316245,97.598512
-0.317246,97.598512
-0.318247,97.58912
-0.319248,97.58912
-0.320248,97.617304
-0.321249,97.57972
-0.32225,97.607904
-0.323251,97.579728
-0.324252,97.636088
-0.325252,97.607904
-0.326253,97.645488
-0.327254,97.617296
-0.328255,97.636088
-0.329255,97.65488
-0.330256,97.598512
-0.331257,97.636088
-0.332258,97.692448
-0.333259,97.72064
-0.334259,97.692456
-0.33526,97.692448
-0.336261,97.699498
-0.337262,97.692448
-0.338262,97.6096625
-0.339263,97.51396
-0.340264,97.532744
-0.341265,97.560928
-0.342266,97.579728
-0.343266,97.598512
-0.344267,97.579728
-0.345268,97.607904
-0.346269,97.551536
-0.347269,97.59852
-0.34827,97.570328
-0.349271,97.607904
-0.35027200000000003,97.598512
-0.351273,97.626688
-0.352273,97.636088
-0.353274,97.626688
-0.354275,97.64548
-0.355276,97.626688
-0.356276,97.683064
-0.357277,97.645488
-0.358278,97.683064
-0.359279,97.683064
-0.36028,97.72064
-0.36128,97.730032
