Voltage [V],Current [uA]
-0.050038896,91.445168
-0.051039672,92.356432
-0.052040452,92.61008
-0.053041232,92.760384
-0.054042008,92.835544
-0.055042784,92.901304
-0.056043564,92.94828
-0.057044344,92.957672
-0.05804512,92.985856
-0.059045896,93.004648
-0.060046676,93.032824
-0.061047452,93.051616
-0.062048232,93.070408
-0.063049012,93.051616
-0.064049788,93.032824
-0.065050564,93.023432
-0.06605134,93.032824
-0.06705212,93.042224
-0.068052896,93.004648
-0.06905368,93.032824
-0.070054456,93.01404
-0.071055232,93.032824
-0.072056008,93.02344
-0.073056784,93.01404
-0.074057568,93.042224
-0.075058344,93.01404
-0.076059128,93.023432
-0.077059904,93.01404
-0.07806068,92.976464
-0.079061456,93.084498
-0.080062232,93.173744
-0.081063008,93.173744
-0.082063784,93.154952
-0.083064568,93.192536
-0.084065344,93.136168
-0.085066128,93.154952
-0.086066904,93.154952
-0.08706768,93.164344
-0.088068456,93.173744
-0.089069232,93.173744
-0.090070008,93.183136
-0.091070792,93.154952
-0.092071568,93.183144
-0.093072344,93.15496
-0.094073128,93.173744
-0.095073904,93.166698
-0.09607468,93.164344
-0.097075456,93.173744
-0.09807624,93.164344
-0.099077016,93.192536
-0.100077792,93.15496
-0.101078568,93.173744
-0.102079344,93.192536
-0.10308012,93.173744
-0.104080904,93.178442
-0.105081688,93.173744
-0.106082464,93.173744
-0.10708324,93.164344
-0.108084016,93.173744
-0.109084792,93.154952
-0.110085568,93.162
-0.111086344,93.15496
-0.112087128,93.164344
-0.113087904,93.15496
-0.114088688,93.18314
-0.115089464,93.22072
-0.11609024,93.192536
-0.117091016,93.192536
-0.118091792,93.192536
-0.119092576,93.187838
-0.120093352,93.183144
-0.121094128,93.183136
-0.122094904,93.183136
-0.12309568,93.173744
-0.124096464,93.173744
-0.125097248,93.164344
-0.126098024,93.173744
-0.1270988,93.201928
-0.128099576,93.230104
-0.129100352,93.21132
-0.130101128,93.126768
-0.131101904,93.032824
-0.13210268,93.032824
-0.133103464,93.039872
-0.13410424,93.042224
-0.135105,93.051616
-0.136105,93.061016
-0.137106,93.042222
-0.138107,93.023432
-0.139108,93.032824
-0.140108,93.032824
-0.141109,93.023432
-0.14211,93.032824
-0.143111,93.070408
-0.144112,93.061016
-0.145112,93.070408
-0.146113,93.0892
-0.147114,93.061016
-0.148115,93.0798
-0.149115,93.042224
-0.150116,93.051616
-0.151117,93.061016
-0.152118,93.098584
-0.153119,93.089192
-0.154119,93.032824
-0.15512,93.042224
-0.156121,93.061016
-0.157122,93.051616
-0.158122,93.032824
-0.159123,93.051616
-0.160124,93.0892
-0.161125,93.098584
-0.162126,93.061016
-0.163126,93.061016
-0.164127,93.070408
-0.165128,93.098584
-0.166129,93.051616
-0.167129,93.070408
-0.16813,93.098584
-0.169131,93.098584
-0.170132,93.089192
-0.171133,93.070408
-0.172133,93.0704
-0.173134,93.061016
-0.174135,93.072754
-0.17513600000000001,93.0892
-0.176136,93.0704
-0.177137,93.107984
-0.178138,93.107984
-0.179139,93.107984
-0.18014,93.0798
-0.18114,93.0798
-0.182141,93.098584
-0.183142,93.098584
-0.184143,93.098584
-0.185143,93.107984
-0.186144,93.089192
-0.187145,93.098584
-0.188146,93.098584
-0.189147,93.098584
-0.190147,93.098584
-0.191148,93.0892
-0.192149,93.100938
-0.19315,93.107984
-0.19415,93.107984
-0.195151,93.107984
-0.196152,93.107984
-0.197153,93.126776
-0.198154,93.117376
-0.199154,93.126776
-0.200155,93.129122
-0.201156,93.14556
-0.202157,93.126776
-0.203157,93.136168
-0.204158,93.136168
-0.205159,93.136168
-0.20616,93.131472
-0.207161,93.126776
-0.208161,93.137342
-0.209162,93.14556
-0.210163,93.14556
-0.211164,93.136168
-0.212164,93.14556
-0.213165,93.15496
-0.214166,93.136168
-0.215167,93.183136
-0.216168,93.15496
-0.217168,93.14556
-0.218169,93.14556
-0.21917,93.15496
-0.220171,93.164352
-0.221171,93.136168
-0.222172,93.173744
-0.223173,93.164344
-0.224174,93.192536
-0.225175,93.164344
-0.226175,93.173744
-0.227176,93.173744
-0.228177,93.183144
-0.229178,93.173744
-0.230178,93.164344
-0.231179,93.201936
-0.23218,93.183144
-0.233181,93.220712
-0.234182,93.21132
-0.235182,93.201928
-0.236183,93.201936
-0.237184,93.197234
-0.238185,93.192536
-0.239185,93.192536
-0.240186,93.201928
-0.241187,93.21132
-0.242188,93.22072
-0.243189,93.230112
-0.244189,93.201928
-0.24519,93.220712
-0.246191,93.201928
-0.247192,93.22072
-0.248192,93.22072
-0.249193,93.22072
-0.250194,93.239504
-0.251195,93.248904
-0.252196,93.22072
-0.253196,93.21132
-0.254197,93.258296
-0.255198,93.239504
-0.256199,93.295864
-0.257199,93.21132
-0.2582,93.258296
-0.259201,93.239504
-0.260202,93.27708
-0.261203,93.248904
-0.262203,93.201928
-0.263204,93.230104
-0.264205,93.239504
-0.265206,93.28648
-0.266206,93.239504
-0.267207,93.267688
-0.268208,93.295872
-0.269209,93.28648
-0.27021,93.27708
-0.27121,93.27708
-0.272211,93.27708
-0.273212,93.258296
-0.274213,93.295872
-0.275213,93.248904
-0.276214,93.305264
-0.277215,93.27708
-0.278216,93.28648
-0.279217,93.324056
-0.280217,93.267696
-0.281218,93.324056
-0.282219,93.248904
-0.28322,93.27708
-0.28422,93.248904
-0.285221,93.28648
-0.286222,93.258296
-0.287223,93.305264
-0.288224,93.295864
-0.289224,93.464976
-0.290225,93.502544
-0.291226,93.48376
-0.292227,93.493152
-0.293227,93.464976
-0.294228,93.493152
-0.295229,93.502544
-0.29623,93.493152
-0.297231,93.521336
-0.298231,93.47436
-0.299232,93.511944
-0.300233,93.502544
-0.301234,93.530736
-0.302234,93.502544
-0.303235,93.511944
-0.304236,93.530736
-0.305237,93.521336
-0.306238,93.54952
-0.307238,93.502544
-0.308239,93.568304
-0.30924,93.530736
-0.310241,93.511944
-0.311241,93.540128
-0.312242,93.54952
-0.313243,93.577712
-0.314244,93.568304
-0.315245,93.596496
-0.316245,93.587096
-0.317246,93.61528
-0.318247,93.587096
-0.319248,93.605888
-0.320248,93.587096
-0.321249,93.596496
-0.32225,93.624672
-0.323251,93.61528
-0.324252,93.605888
-0.325252,93.634064
-0.326253,93.662256
-0.327254,93.643472
-0.328255,93.68104
-0.329255,93.662256
-0.330256,93.652864
-0.331257,93.690432
-0.332258,93.709232
-0.333259,93.737408
-0.334259,93.7468
-0.33526,93.737408
-0.336261,93.765584
-0.337262,93.7468
-0.338262,93.737416
-0.339263,93.65521
-0.340264,93.558912
-0.341265,93.577712
-0.342266,93.596496
-0.343266,93.577712
-0.344267,93.605888
-0.345268,93.643472
-0.346269,93.62468
-0.347269,93.605888
-0.34827,93.662256
-0.349271,93.68104
-0.35027200000000003,93.68104
-0.351273,93.68104
-0.352273,93.697484
-0.353274,93.709232
-0.354275,93.718624
-0.355276,93.709232
-0.356276,93.728016
-0.357277,93.7468
-0.358278,93.7468
-0.359279,93.793776
-0.36028,93.803168
-0.36128,93.803168
-0.362281,93.81256
-0.363282,93.831344
-0.364283,93.82196
-0.365283,93.803176
-0.366284,93.850144
-0.367285,93.868936
-0.368286,93.88772
-0.369287,93.88772
-0.370287,93.88772
-0.371288,93.906512
-0.372289,93.944088
-0.37329,93.944088
-0.37429,93.934696
-0.375291,93.962872
-0.376292,94.01924
-0.377293,94.000456
-0.378294,94.01924
-0.379294,94.028632
-0.380295,94.047432
-0.381296,94.085
-0.382297,94.075608
-0.383297,94.096748
-0.384298,94.113192
-0.385299,94.113192
-0.3863,94.122576
-0.387301,94.131976
-0.388301,94.141368
-0.389302,94.15076
-0.390303,94.169552
-0.391304,94.197736
-0.392304,94.197736
-0.393305,94.244712
-0.394306,94.254096
-0.395307,94.263496
-0.396308,94.291672
-0.397308,94.29168
-0.398309,94.28228
-0.39931,94.298726
-0.400311,94.310472
-0.401311,94.310472
-0.402312,94.366832
-0.403313,94.338656
-0.404314,94.376232
-0.405315,94.385624
-0.406315,94.395016
-0.407316,94.4232
-0.408317,94.4138
-0.409318,94.470168
-0.410318,94.4326
-0.411319,94.451384
-0.41232,94.451384
-0.413321,94.463126
-0.414322,94.47956
-0.415322,94.470176
-0.416323,94.47956
-0.417324,94.48896
-0.418325,94.507752
-0.419325,94.507752
-0.420326,94.526536
-0.421327,94.54532
-0.422328,94.526536
-0.423329,94.517144
-0.424329,94.517144
-0.42533,94.54532
-0.426331,94.526536
-0.427332,94.545328
-0.428332,94.55472
-0.429333,94.564128
-0.430334,94.592304
-0.431335,94.564128
-0.432336,94.573512
-0.433336,94.55942
-0.434337,94.55472
-0.435338,94.54532
-0.436339,94.56412
-0.437339,94.535936
-0.43834,94.582912
-0.439341,94.55472
-0.440342,94.573512
-0.441343,94.573512
-0.442343,94.55472
-0.443344,94.517144
-0.444345,94.535936
-0.445346,94.545328
-0.446346,94.526544
-0.447347,94.55472
-0.448348,94.545328
-0.449349,94.55472
-0.45035,94.517144
-0.45135,94.535936
-0.452351,94.517144
-0.453352,94.48896
-0.454353,94.517144
-0.455353,94.498352
-0.456354,94.48896
-0.457355,94.491308
-0.458356,94.48896
-0.459357,94.48896
-0.460357,94.451376
-0.461358,94.47956
-0.462359,94.404408
-0.46336,94.470176
-0.46436,94.4232
-0.465361,94.4326
-0.466362,94.413808
-0.467363,94.411458
-0.468364,94.404408
-0.469364,94.395016
-0.470365,94.404408
-0.471366,94.35744
-0.472367,94.395016
-0.473367,94.34804
-0.474368,94.357432
-0.475369,94.348048
-0.47637,94.366832
-0.477371,94.329256
-0.478371,94.272888
-0.479372,94.319864
-0.480373,94.272888
-0.481374,94.29168
-0.482374,94.263496
-0.483375,94.28228
-0.484376,94.254104
-0.485377,94.263496
-0.486378,94.23532
-0.487378,94.254104
-0.488379,94.263496
-0.48938,94.225912
-0.490381,94.21652
-0.491381,94.207136
-0.492382,94.197736
-0.493383,94.195388
-0.494384,94.188336
-0.495385,94.188344
-0.496385,94.263496
-0.497386,94.338648
-0.498387,94.338656
-0.499388,94.317514
-0.500388,94.30108
-0.501389,94.291672
-0.50239,94.310472
-0.503391,94.310472
-0.504392,94.30108
-0.505392,94.294028
-0.506393,94.28228
-0.507394,94.28228
-0.508395,94.272888
-0.509395,94.263496
-0.510396,94.23532
-0.511397,94.263496
-0.512398,94.254104
-0.513399,94.21652
-0.514399,94.263496
-0.5154,94.22592
-0.516401,94.244712
-0.517402,94.207128
-0.518402,94.207128
-0.519403,94.204778
-0.520404,94.197736
-0.521405,94.20712
-0.522406,94.188344
-0.523406,94.169552
-0.524407,94.207128
-0.525408,94.169552
-0.526409,94.160152
-0.527409,94.16016
-0.52841,94.178952
-0.529411,94.178944
-0.530412,94.188344
-0.531413,94.197736
-0.532413,94.178952
-0.533414,94.207128
-0.534415,94.178952
-0.535416,94.169552
-0.536416,94.131976
-0.537417,94.141368
-0.538418,94.129626
-0.539419,94.122584
-0.54042,94.122576
-0.54142,94.129624
-0.542421,94.15076
-0.543422,94.122576
-0.544423,94.15076
-0.545423,94.141368
-0.546424,94.042726
-0.547425,93.95348
-0.548426,93.925296
-0.549427,93.972272
-0.550427,93.981672
-0.551428,93.981664
-0.552429,93.965226
-0.55343,93.95348
-0.55443,93.944088
-0.555431,93.934688
-0.556432,93.962872
-0.557433,93.981664
-0.558434,93.95348
-0.559434,93.95348
-0.560435,93.972272
-0.561436,93.962872
-0.562437,93.981664
-0.563437,93.944088
-0.564438,93.962872
-0.565439,93.962872
-0.56644,93.962872
-0.567441,93.962872
-0.568441,93.962872
-0.569442,93.972272
-0.570443,93.962872
-0.571444,93.95348
-0.572444,93.934696
-0.573445,93.981672
-0.574446,93.962872
-0.575447,93.981664
-0.576448,93.991056
-0.577448,93.991056
-0.578449,93.991064
-0.57945,94.01924
-0.580451,94.009848
-0.581451,94.016892
-0.582452,94.01924
-0.583453,94.01924
-0.584454,94.01924
-0.585455,93.991056
-0.586455,93.981664
-0.587456,94.01924
-0.588457,93.991056
-0.589458,94.000456
-0.590458,94.000456
-0.591459,94.01924
-0.59246,94.038032
-0.593461,94.01924
-0.594462,94.01924
-0.595462,94.028632
-0.596463,94.030984
-0.597464,94.038032
-0.598465,94.038032
-0.599465,94.040382
