Sample Name,Peak Voltage,Peak Amplitude
100-MCH - 5Hz - A,-0.2072277069091797,0.14720148727542065
100-MCH - 5Hz - B,-0.2033214569091797,0.13821469230793065
100-MCH - 5Hz - C,-0.19832134246826172,0.14735049888735913
75-MCH - 5Hz - A,-0.19136810302734375,0.10724927558273566
75-MCH - 5Hz - B,-0.1923837661743164,0.12366498102907275
75-MCH - 5Hz - C,-0.19730567932128906,0.11623281548633552
100-MCH - 100Hz - A,-0.2320709228515625,1.6824681250775446
100-MCH - 100Hz - B,-0.22410202026367188,1.5941087308225022
100-MCH - 100Hz - C,-0.22511768341064453,1.6917922646831671
75-MCH - 100Hz  - A,-0.22308635711669922,1.9707950086541517
75-MCH - 100Hz B,-0.22308635711669922,1.946824495909644
75-MCH - 100Hz - C,-0.22308635711669922,1.7721340304515398
50-MCH - 5Hz - A,-0.1923837661743164,0.09200612052542265
50-MCH - 5Hz - B,-0.19535255432128906,0.1099852264904585
50-MCH - 5Hz - C,-0.19535255432128906,0.11365921770940061
40-MCH - 5Hz - A,-0.19339942932128906,0.10139385207754667
40-MCH - 5Hz - B,-0.19535255432128906,0.10193371381915983
40-MCH - 5Hz - C,-0.20129013061523438,0.0994322729892418
50-MCH - 100Hz - A,-0.21621131896972656,1.6960988796550491
50-MCH - 100Hz - B,-0.22410202026367188,2.047175266703621
50-MCH - 100Hz - C,-0.22410202026367188,2.10890531173495
40-MCH - 100Hz - A,-0.22308635711669922,2.203984338729108
40-MCH - 100Hz - B,-0.22113323211669922,2.0783651070516616
40-MCH 100 Hz - C,-0.21816444396972656,2.0023252143234505
