Voltage [V],Current [uA]
-0.050038896,28.066736
-0.051039672,28.826744
-0.052040452,29.054088
-0.053041232,29.126424
-0.054042008,29.16494
-0.055042784,29.198762
-0.056043564,29.211914
-0.057044344,29.231642
-0.05804512,29.241036
-0.059045896,29.294584
-0.060046676,29.31901
-0.061047452,29.293646
-0.062048232,29.272978
-0.063049012,29.257946
-0.064049788,29.25043
-0.065050564,29.282372
-0.06605134,29.279554
-0.06705212,29.288948
-0.068052896,29.268282
-0.06905368,29.239158
-0.070054456,29.255126
-0.071055232,29.215672
-0.072056008,29.268282
-0.073056784,29.25137
-0.074057568,29.241976
-0.075058344,29.245734
-0.076059128,29.25325
-0.077059904,29.249492
-0.07806068,29.25137
-0.079061456,29.241976
-0.080062232,29.26922
-0.081063008,29.244794
-0.082063784,29.218488
-0.083064568,29.225066
-0.084065344,29.242916
-0.085066128,29.227886
-0.086066904,29.232582
-0.08706768,29.223188
-0.088068456,29.210974
-0.089069232,29.192186
-0.090070008,29.21473
-0.091070792,29.221308
-0.092071568,29.23352
-0.093072344,29.226004
-0.094073128,29.227886
-0.095073904,29.209096
-0.09607468,29.218488
-0.097075456,29.20158
-0.09807624,29.198762
-0.099077016,29.179974
-0.100077792,29.177154
-0.101078568,29.195942
-0.102079344,29.196882
-0.10308012,29.1952375
-0.104080904,29.193124
-0.105081688,29.195002
-0.106082464,29.2116785
-0.10708324,29.224128
-0.108084016,29.23446
-0.109084792,29.209096
-0.110085568,29.20064
-0.111086344,29.229762
-0.112087128,29.215672
-0.113087904,29.232582
-0.114088688,29.210974
-0.115089464,29.20158
-0.11609024,29.21567
-0.117091016,29.192184
-0.118091792,29.186548
-0.119092576,29.182792
-0.120093352,29.178094
-0.121094128,29.175276
-0.122094904,29.163064
-0.12309568,29.16494
-0.124096464,29.1668205
-0.125097248,29.164002
-0.126098024,29.175276
-0.1270988,29.182788
-0.128099576,29.210034
-0.129100352,29.1550765
-0.130101128,29.114212
-0.131101904,29.113272
-0.13210268,29.133
-0.133103464,29.11327
-0.13410424,29.13206
-0.135105,29.139576
-0.136105,29.11609
-0.137106,29.08227
-0.138107,29.102938
-0.139108,29.141456
-0.140108,29.144274
-0.141109,29.144274
-0.14211,29.143334
-0.143111,29.162122
-0.144112,29.190304
-0.145112,29.195004
-0.146113,29.16776
-0.147114,29.157424
-0.148115,29.130182
-0.149115,29.144274
-0.150116,29.162124
-0.151117,29.17058
-0.152118,29.1543735
-0.153119,29.144274
-0.154119,29.140516
-0.15512,29.122666
-0.156121,29.115152
-0.157122,29.093546
-0.158122,29.125484
-0.159123,29.107636
-0.160124,29.089786
-0.161125,29.097304
-0.162126,29.075694
-0.163126,29.10012
-0.164127,29.110454
-0.165128,29.108576
-0.166129,29.0829755
-0.167129,29.060664
-0.16813,29.052208
-0.169131,29.063482
-0.170132,29.065362
-0.171133,29.086968
-0.172133,29.049392
-0.173134,29.019328
-0.174135,29.008996
-0.17513600000000001,29.018388
-0.176136,29.004296
-0.177137,29.008054
-0.178138,29.046572
-0.179139,29.041874
-0.18014,29.0663
-0.18114,29.064422
-0.182141,29.072876
-0.183142,29.08603
-0.184143,29.102938
-0.185143,29.120788
-0.186144,29.127364
-0.187145,29.133
-0.188146,29.131356
-0.189147,29.131122
-0.190147,29.133938
-0.191148,29.135818
-0.192149,29.1315905
-0.19315,29.13488
-0.19415,29.121726
-0.195151,29.131122
-0.196152,29.11797
-0.197153,29.120786
-0.198154,29.09824
-0.199154,29.070058
-0.200155,29.08415
-0.201156,29.110454
-0.202157,29.106696
-0.203157,29.08133
-0.204158,29.072874
-0.205159,29.074756
-0.20616,29.075694
-0.207161,29.0663
-0.208161,29.08321
-0.209162,29.074756
-0.210163,29.06724
-0.211164,29.076632
-0.212164,29.114212
-0.213165,29.129242
-0.214166,29.104818
-0.215167,29.096362
-0.216168,29.076634
-0.217168,29.075694
-0.218169,29.064422
-0.21917,29.072876
-0.220171,29.05033
-0.221171,29.043752
-0.222172,29.042814
-0.223173,29.038118
-0.224174,29.039056
-0.225175,29.05033
-0.226175,29.053148
-0.227176,29.065362
-0.228177,29.06442
-0.229178,29.070998
-0.230178,29.087906
-0.231179,29.102938
-0.23218,29.133002
-0.233181,29.149908
-0.234182,29.145212
-0.235182,29.153198
-0.236183,29.154608
-0.237184,29.163064
-0.238185,29.18185
-0.239185,29.20346
-0.240186,29.206276
-0.241187,29.230702
-0.242188,29.21755
-0.243189,29.196882
-0.244189,29.204398
-0.24519,29.219428
-0.246191,29.221308
-0.247192,29.229762
-0.248192,29.226004
-0.249193,29.20158
-0.250194,29.210974
-0.251195,29.231644
-0.252196,29.215672
-0.253196,29.256068
-0.254197,29.290826
-0.255198,29.264524
-0.256199,29.273916
-0.257199,29.292704
-0.2582,29.291766
-0.259201,29.28519
-0.260202,29.2952895
-0.261203,29.30304
-0.262203,29.301162
-0.263204,29.309616
-0.264205,29.308676
-0.265206,29.28613
-0.266206,29.28425
-0.267207,29.273916
-0.268208,29.28613
-0.269209,29.280492
-0.27021,29.261704
-0.27121,29.28425
-0.272211,29.272978
-0.273212,29.283312
-0.274213,29.283312
-0.275213,29.297404
-0.276214,29.313372
-0.277215,29.315252
-0.278216,29.299751
-0.279217,29.297404
-0.280217,29.272976
-0.281218,29.273916
-0.282219,29.23352
-0.28322,29.195944
-0.28422,29.216612
-0.285221,29.223184
-0.286222,29.23446
-0.287223,29.25325
-0.288224,29.254188
-0.289224,29.261704
-0.290225,29.26922
-0.291226,29.270158
-0.292227,29.273916
-0.293227,29.256066
-0.294228,29.243856
-0.295229,29.26922
-0.29623,29.272978
-0.297231,29.274856
-0.298231,29.289888
-0.299232,29.277674
-0.300233,29.303038
-0.301234,29.303038
-0.302234,29.316192
-0.303235,29.332162
-0.304236,29.339676
-0.305237,29.35095
-0.306238,29.345314
-0.307238,29.365044
-0.308239,29.378194
-0.30924,29.368798
-0.310241,29.36786
-0.311241,29.350012
-0.312242,29.361286
-0.313243,29.3535345
-0.314244,29.348132
-0.315245,29.354708
-0.316245,29.35095
-0.317246,29.344374
-0.318247,29.33686
-0.319248,29.33592
-0.320248,29.336625
-0.321249,29.340618
-0.32225,29.35253675
-0.323251,29.365982
-0.324252,29.366922
-0.325252,29.381954
-0.326253,29.34907
-0.327254,29.398862
-0.328255,29.388528
-0.329255,29.381952
-0.330256,29.405438
-0.331257,29.407318
-0.332258,29.417652
-0.333259,29.431742
-0.334259,29.413892
-0.33526,29.461804
-0.336261,29.481532
-0.337262,29.475898
-0.338262,29.461804
-0.339263,29.43362
-0.340264,29.412952
-0.341265,29.407318
-0.342266,29.428924
-0.343266,29.470258
-0.344267,29.454292
-0.345268,29.494684
-0.346269,29.48529
-0.347269,29.489048
-0.34827,29.507836
-0.349271,29.518172
-0.35027200000000003,29.512536
-0.351273,29.524748
-0.352273,29.539778
-0.353274,29.526626
-0.354275,29.555748
-0.355276,29.576418
-0.356276,29.583934
-0.357277,29.598024
-0.358278,29.60554
-0.359279,29.623388
-0.36028,29.633724
-0.36128,29.615874
-0.362281,29.62245
-0.363282,29.623388
-0.364283,29.620568
-0.365283,29.618692
-0.366284,29.632313
-0.367285,29.642178
-0.368286,29.647814
-0.369287,29.65533
-0.370287,29.669424
-0.371288,29.662846
-0.372289,29.68821
-0.37329,29.683512
-0.37429,29.701362
-0.375291,29.700422
-0.376292,29.70982
-0.377293,29.728606
-0.378294,29.733302
-0.379294,29.746456
-0.380295,29.757728
-0.381296,29.761486
-0.382297,29.75491
-0.383297,29.7671235
-0.384298,29.77558
-0.385299,29.776518
-0.3863,29.784972
-0.387301,29.793428
-0.388301,29.784972
-0.389302,29.816914
-0.390303,29.82255
-0.391304,29.837582
-0.392304,29.857308
-0.393305,29.878916
-0.394306,29.868584
-0.395307,29.900526
-0.396308,29.909918
-0.397308,29.913676
-0.398309,29.926828
-0.39931,29.95783
-0.400311,29.963466
-0.401311,29.97192
-0.402312,29.99447
-0.403313,29.993528
-0.404314,30.00762
-0.405315,30.015136
-0.406315,30.017719
-0.407316,30.027348
-0.408317,30.020772
-0.409318,30.048016
-0.410318,30.047078
-0.411319,30.063986
-0.41232,30.083716
-0.413321,30.081836
-0.414322,30.098744
-0.415322,30.091232
-0.416323,30.101564
-0.417324,30.103442
-0.418325,30.10908
-0.419325,30.141022
-0.420326,30.149476
-0.421327,30.153232
-0.422328,30.148536
-0.423329,30.152292
-0.424329,30.157461
-0.42533,30.16075
-0.426331,30.168266
-0.427332,30.152294
-0.428332,30.161688
-0.429333,30.13914
-0.430334,30.154172
-0.431335,30.171084
-0.432336,30.153232
-0.433336,30.142898
-0.434337,30.152294
-0.435338,30.156992
-0.436339,30.154172
-0.437339,30.164506
-0.43834,30.15981
-0.439341,30.162628
-0.440342,30.15887
-0.441343,30.155112
-0.442343,30.166386
-0.443344,30.173902
-0.444345,30.15605
-0.445346,30.15887
-0.446346,30.154172
-0.447347,30.162628
-0.448348,30.15793
-0.449349,30.149476
-0.45035,30.148538
-0.45135,30.154172
-0.452351,30.149476
-0.453352,30.141022
-0.454353,30.108142
-0.455353,30.110958
-0.456354,30.1109585
-0.457355,30.110958
-0.458356,30.10226813
-0.459357,30.09217
-0.460357,30.094986
-0.461358,30.090292
-0.462359,30.087472
-0.46336,30.071504
-0.46436,30.07338
-0.465361,30.079016
-0.466362,30.079956
-0.467363,30.07432
-0.468364,30.053652
-0.469364,30.06023
-0.470365,30.050836
-0.471366,30.069622
-0.472367,30.05459
-0.473367,30.028288
-0.474368,30.032046
-0.475369,30.02265
-0.47637,30.03862
-0.477371,30.02547
-0.478371,30.014198
-0.479372,30.0095
-0.480373,30.013256
-0.481374,29.998226
-0.482374,29.979436
-0.483375,29.982254
-0.484376,29.992588
-0.485377,29.984134
-0.486378,29.978498
-0.487378,29.970042
-0.488379,29.9742695
-0.48938,29.976618
-0.490381,29.97192
-0.491381,29.9674585
-0.492382,29.962526
-0.493383,29.95877
-0.494384,29.957832
-0.495385,29.950314
-0.496385,29.972157
-0.497386,29.986954
-0.498387,29.993528
-0.499388,29.987892
-0.500388,29.995408
-0.501389,29.990712
-0.50239,30.00762
-0.503391,29.997284
-0.504392,29.967224
-0.505392,29.969104
-0.506393,29.95595
-0.507394,29.94186
-0.508395,29.946556
-0.509395,29.930586
-0.510396,29.93904
-0.511397,29.934344
-0.512398,29.917434
-0.513399,29.904282
-0.514399,29.909918
-0.5154,29.927766
-0.516401,29.929646
-0.517402,29.93904
-0.518402,29.931524
-0.519403,29.92025
-0.520404,29.915554
-0.521405,29.92307
-0.522406,29.926828
-0.523406,29.937162
-0.524407,29.92401
-0.525408,29.928708
-0.526409,29.897704
-0.527409,29.92589
-0.52841,29.885494
-0.529411,29.893948
-0.530412,29.899586
-0.531413,29.909918
-0.532413,29.908038
-0.533414,29.8991145
-0.534415,29.88925
-0.535416,29.889252
-0.536416,29.883612
-0.537417,29.88737
-0.538418,29.8824385
-0.539419,29.879856
-0.54042,29.878916
-0.54142,29.877978
-0.542421,29.881736
-0.543422,29.868582
-0.544423,29.876098
-0.545423,29.88925
-0.546424,29.875158
-0.547425,29.8483845
-0.548426,29.815034
-0.549427,29.814096
