sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.50017;3.065986e-06;-5.31997e-07;-3.597983e-06
-0.499096;2.897987e-06;-4.33998e-07;-3.331985e-06
-0.498021;2.827987e-06;-3.63998e-07;-3.191985e-06
-0.49694699999999997;2.7159869999999998e-06;-3.28998e-07;-3.044986e-06
-0.495872;2.652988e-06;-3.07998e-07;-2.960986e-06
-0.49479799999999996;2.512988e-06;-2.86998e-07;-2.799987e-06
-0.493724;2.477989e-06;-2.55498e-07;-2.733487e-06
-0.492649;2.313489e-06;-2.51998e-07;-2.565488e-06
-0.491575;2.330989e-06;-2.02999e-07;-2.533988e-06
-0.4905;2.19274e-06;-2.04749e-07;-2.397489e-06
-0.48942599999999997;2.12799e-06;-1.8724899999999998e-07;-2.315239e-06
-0.488351;2.04399e-06;-1.80249e-07;-2.22424e-06
-0.48727699999999996;1.979241e-06;-1.67999e-07;-2.14724e-06
-0.48620199999999997;1.917116e-06;-1.5837399999999999e-07;-2.07549e-06
-0.485128;1.849741e-06;-1.50499e-07;-2.000241e-06
-0.48405299999999996;1.793742e-06;-1.37811e-07;-1.931553e-06
-0.482979;1.737742e-06;-1.29499e-07;-1.867241e-06
-0.481904;1.684367e-06;-1.20749e-07;-1.805116e-06
-0.48083;1.63318e-06;-1.13749e-07;-1.746929e-06
-0.479755;1.585055e-06;-1.05874e-07;-1.690929e-06
-0.47868099999999997;1.53868e-06;-9.931205600000001e-08;-1.637992e-06
-0.477606;1.493618e-06;-9.2749584e-08;-1.586367e-06
-0.47653199999999996;1.450743e-06;-8.6624616e-08;-1.537368e-06
-0.47545699999999996;1.4096179999999999e-06;-8.093714400000001e-08;-1.490555e-06
-0.474383;1.369806e-06;-7.503092e-08;-1.4448369999999999e-06
-0.47330799999999995;1.331525e-06;-6.999968800000001e-08;-1.4015249999999999e-06
-0.472234;1.294994e-06;-6.474971600000001e-08;-1.359743e-06
-0.471159;1.259775e-06;-5.9718484e-08;-1.319494e-06
-0.470085;1.224994e-06;-5.5343504e-08;-1.280338e-06
-0.46901;1.1924e-06;-5.0968524000000005e-08;-1.243369e-06
-0.46793599999999996;1.160244e-06;-4.7031040000000006e-08;-1.207275e-06
-0.466862;1.129838e-06;-4.3093556000000006e-08;-1.172932e-06
-0.465787;1.100307e-06;-3.871858e-08;-1.1390259999999999e-06
-0.464713;1.071214e-06;-3.5437344000000005e-08;-1.106651e-06
-0.463638;1.043432e-06;-3.171861e-08;-1.075151e-06
-0.462564;1.0163069999999999e-06;-2.8656122e-08;-1.044964e-06
-0.461489;9.90495e-07;-2.5593638e-08;-1.016089e-06
-0.46041499999999996;9.6512e-07;-2.2749900000000003e-08;-9.8787e-07
-0.45933999999999997;9.41495e-07;-1.9031166e-08;-9.60526e-07
-0.458266;9.18308e-07;-1.6406176e-08;-9.34714e-07
-0.45719099999999996;8.95558e-07;-1.3999938000000001e-08;-9.095579999999999e-07
-0.456117;8.73683e-07;-1.1156200000000002e-08;-8.84839e-07
-0.455042;8.53121e-07;-8.312463e-09;-8.61433e-07
-0.453968;8.32668e-07;-5.796849e-09;-8.38465e-07
-0.452893;8.13199e-07;-3.281235e-09;-8.1648e-07
-0.45181899999999997;7.93512e-07;-1.2031190000000002e-09;-7.94715e-07
-0.450744;7.75246e-07;8.74996e-10;-7.74371e-07
-0.44966999999999996;7.57309e-07;2.8437370000000002e-09;-7.54465e-07
