sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.50017;2.827987e-06;-4.05998e-07;-3.233985e-06
-0.499096;2.701988e-06;-3.21998e-07;-3.023986e-06
-0.498021;2.617988e-06;-2.79998e-07;-2.897987e-06
-0.49694699999999997;2.512988e-06;-2.51998e-07;-2.764987e-06
-0.495872;2.442989e-06;-2.51998e-07;-2.694988e-06
-0.49479799999999996;2.3659889999999998e-06;-2.16999e-07;-2.5829879999999998e-06
-0.493724;2.3064889999999998e-06;-2.09999e-07;-2.516488e-06
-0.492649;2.20499e-06;-1.64499e-07;-2.369489e-06
-0.491575;2.13149e-06;-1.60999e-07;-2.292489e-06
-0.4905;2.05624e-06;-1.52249e-07;-2.20849e-06
-0.48942599999999997;1.979241e-06;-1.36499e-07;-2.1157399999999998e-06
-0.488351;1.9057409999999999e-06;-1.39999e-07;-2.04574e-06
-0.48727699999999996;1.857616e-06;-1.25124e-07;-1.982741e-06
-0.48620199999999997;1.798117e-06;-1.15499e-07;-1.913616e-06
-0.485128;1.735992e-06;-1.07624e-07;-1.843616e-06
-0.48405299999999996;1.687867e-06;-9.581207200000001e-08;-1.783679e-06
-0.482979;1.635805e-06;-8.881210400000001e-08;-1.724617e-06
-0.481904;1.586805e-06;-8.181213600000001e-08;-1.668617e-06
-0.48083;1.537805e-06;-7.656216e-08;-1.6143669999999999e-06
-0.479755;1.493618e-06;-6.9562192e-08;-1.56318e-06
-0.47868099999999997;1.450743e-06;-6.3655968e-08;-1.514399e-06
-0.477606;1.4083059999999999e-06;-5.862474000000001e-08;-1.46693e-06
-0.47653199999999996;1.368493e-06;-5.315601200000001e-08;-1.421649e-06
-0.47545699999999996;1.330431e-06;-4.8343536000000004e-08;-1.378775e-06
-0.474383;1.293025e-06;-4.3749808e-08;-1.336775e-06
-0.47330799999999995;1.257588e-06;-3.9374824000000004e-08;-1.296962e-06
-0.472234;1.223682e-06;-3.4999844000000006e-08;-1.258681e-06
-0.471159;1.190213e-06;-3.106236e-08;-1.221275e-06
-0.470085;1.157619e-06;-2.734363e-08;-1.184963e-06
-0.46901;1.127213e-06;-2.3843644e-08;-1.151057e-06
-0.46793599999999996;1.097245e-06;-2.034366e-08;-1.117588e-06
-0.466862;1.069245e-06;-1.7062424e-08;-1.086307e-06
-0.465787;1.041026e-06;-1.3781188000000001e-08;-1.054807e-06
-0.464713;1.01412e-06;-1.0718702000000001e-08;-1.024839e-06
-0.463638;9.88089e-07;-8.093714000000001e-09;-9.96183e-07
-0.462564;9.63151e-07;-5.249977000000001e-09;-9.68401e-07
-0.461489;9.38652e-07;-2.8437370000000002e-09;-9.41495e-07
-0.46041499999999996;9.15683e-07;-2.18749e-10;-9.159019999999999e-07
-0.45933999999999997;8.92714e-07;2.1874900000000003e-09;-8.90527e-07
-0.458266;8.71605e-07;5.249977000000001e-09;-8.66355e-07
-0.45719099999999996;8.502769999999999e-07;7.109343e-09;-8.43168e-07
-0.456117;8.30152e-07;9.406208e-09;-8.20746e-07
-0.455042;8.101369999999999e-07;1.1593698e-08;-7.98543e-07
-0.453968;7.91433e-07;1.3671815e-08;-7.77762e-07
-0.452893;7.72512e-07;1.5421807000000002e-08;-7.5709e-07
-0.45181899999999997;7.54902e-07;1.7499922000000003e-08;-7.37402e-07
-0.450744;7.37074e-07;1.9031166e-08;-7.18043e-07
-0.44966999999999996;7.20449e-07;2.0562408e-08;-6.99887e-07
-0.44859499999999997;7.04371e-07;2.2312400000000003e-08;-6.82059e-07
-0.447521;6.8884e-07;2.3843644e-08;-6.64997e-07
-0.44644599999999995;6.732e-07;2.5156138e-08;-6.48044e-07
-0.445372;6.58653e-07;2.6796756000000003e-08;-6.31856e-07
-0.444297;6.44215e-07;2.810925e-08;-6.16106e-07
-0.443223;6.30544e-07;2.9421744e-08;-6.01122e-07
-0.442148;6.16544e-07;3.0406114000000004e-08;-5.86138e-07
-0.44107399999999997;6.033089999999999e-07;3.1609234000000004e-08;-5.717e-07
-0.439999;5.90622e-07;3.2812352e-08;-5.578099999999999e-07
-0.43892499999999995;5.77934e-07;3.3687352e-08;-5.442469999999999e-07
-0.437851;5.66669e-07;3.4999844000000006e-08;-5.31669e-07
-0.436776;5.546379999999999e-07;3.5765468e-08;-5.18872e-07
-0.435702;5.43919e-07;3.7187336e-08;-5.06732e-07
-0.434627;5.32435e-07;3.7734208000000006e-08;-4.947e-07
-0.43355299999999997;5.22044e-07;3.871858e-08;-4.833249999999999e-07
-0.432478;5.115439999999999e-07;3.9374824000000004e-08;-4.72169e-07
-0.43140399999999995;5.0181e-07;4.024982e-08;-4.6156e-07
-0.43032899999999996;4.91747e-07;4.068732e-08;-4.5106e-07
-0.429255;4.82341e-07;4.1562316e-08;-4.40779e-07
-0.42818;4.73154e-07;4.2109188000000004e-08;-4.31044e-07
-0.427106;4.64841e-07;4.2765436000000006e-08;-4.22076e-07
-0.426031;4.56201e-07;4.3531056000000006e-08;-4.1267e-07
-0.424957;4.4821599999999997e-07;4.4077928e-08;-4.04138e-07
-0.423882;4.40123e-07;4.4734176000000005e-08;-3.95388e-07
-0.42280799999999996;4.32794e-07;4.5718548e-08;-3.87076e-07
-0.42173299999999997;4.24591e-07;4.5827920000000006e-08;-3.78763e-07
-0.420659;4.17154e-07;4.6156044e-08;-3.7099799999999997e-07
-0.41958399999999996;4.1070099999999997e-07;4.7140416000000004e-08;-3.6356e-07
-0.41851;4.0337299999999997e-07;4.7249792e-08;-3.56123e-07
-0.417435;3.9692e-07;4.8124784000000006e-08;-3.4879499999999997e-07
-0.416361;3.90357e-07;4.8234160000000005e-08;-3.4212299999999997e-07
-0.415286;3.84013e-07;4.8562284000000006e-08;-3.35451e-07
-0.41421199999999997;3.7756e-07;4.8890408e-08;-3.2867e-07
-0.413137;3.72201e-07;4.965602800000001e-08;-3.22545e-07
-0.41206299999999996;3.66076e-07;4.965602800000001e-08;-3.1641999999999997e-07
-0.410989;3.60498e-07;5.0202904000000005e-08;-3.10295e-07
