sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.391648;2.18858e-07;1.9249914000000003e-08;-1.99608e-07
-0.390573;2.1645199999999999e-07;1.9249914000000003e-08;-1.97202e-07
-0.389499;2.14045e-07;1.9578038e-08;-1.94467e-07
-0.388424;2.1229499999999998e-07;2.0015536000000003e-08;-1.9228e-07
-0.38734999999999997;2.09889e-07;2.034366e-08;-1.89546e-07
-0.386275;2.07811e-07;2.0562408e-08;-1.8724899999999998e-07
-0.38520099999999996;2.06061e-07;2.0781158e-08;-1.8528e-07
-0.38412599999999997;2.03983e-07;2.0890532e-08;-1.83092e-07
-0.383052;2.01795e-07;2.1109282e-08;-1.80686e-07
-0.38197699999999996;2.00045e-07;2.1218656000000002e-08;-1.78827e-07
-0.380903;1.98405e-07;2.1437404000000002e-08;-1.76967e-07
-0.37982899999999997;1.96436e-07;2.1656154e-08;-1.7478e-07
-0.378754;1.94686e-07;2.1874904e-08;-1.72811e-07
-0.37767999999999996;1.9315499999999998e-07;2.1874904e-08;-1.7128e-07
-0.37660499999999997;1.91296e-07;2.1874904e-08;-1.69421e-07
-0.375531;1.89983e-07;2.2421774e-08;-1.67561e-07
-0.37445599999999996;1.88233e-07;2.2203026000000002e-08;-1.6602999999999999e-07
-0.373382;1.86811e-07;2.2312400000000003e-08;-1.64499e-07
-0.372307;1.8549899999999999e-07;2.2640524e-08;-1.62858e-07
-0.371233;1.84077e-07;2.2749900000000003e-08;-1.61327e-07
-0.370158;1.82874e-07;2.3078022e-08;-1.5979599999999998e-07
-0.36908399999999997;1.8134199999999998e-07;2.2968648000000002e-08;-1.5837399999999999e-07
-0.368009;1.79921e-07;2.3078022e-08;-1.56843e-07
-0.36693499999999996;1.78936e-07;2.3296772e-08;-1.55639e-07
-0.36585999999999996;1.77405e-07;2.3187396e-08;-1.5421799999999999e-07
-0.364786;1.76311e-07;2.3406146e-08;-1.52905e-07
-0.363711;1.75108e-07;2.3515520000000003e-08;-1.51593e-07
-0.362637;1.73905e-07;2.3734270000000003e-08;-1.50171e-07
-0.361562;1.72921e-07;2.3734270000000003e-08;-1.49186e-07
-0.360488;1.71827e-07;2.3843644e-08;-1.47983e-07
-0.359413;1.70842e-07;2.3953018000000002e-08;-1.4688899999999999e-07
-0.35833899999999996;1.6985799999999998e-07;2.4062392000000003e-08;-1.45796e-07
-0.35726399999999997;1.69092e-07;2.4281142000000003e-08;-1.4481099999999999e-07
-0.35619;1.68218e-07;2.4281142000000003e-08;-1.43936e-07
-0.35511499999999996;1.67343e-07;2.4609266e-08;-1.4273299999999999e-07
-0.354041;1.66468e-07;2.4609266e-08;-1.41858e-07
-0.352967;1.6570199999999998e-07;2.4609266e-08;-1.41093e-07
-0.351892;1.64936e-07;2.4828014000000004e-08;-1.40108e-07
-0.35081799999999996;1.6427999999999999e-07;2.4937388e-08;-1.39343e-07
-0.34974299999999997;1.63733e-07;2.5156138e-08;-1.3857699999999998e-07
-0.348669;1.62858e-07;2.5265512000000003e-08;-1.37593e-07
-0.34759399999999996;1.6187399999999998e-07;2.5156138e-08;-1.36718e-07
-0.34652;1.61546e-07;2.5484262000000003e-08;-1.36061e-07
-0.345445;1.61108e-07;2.5593638e-08;-1.35515e-07
-0.344371;1.6012399999999999e-07;2.5921760000000002e-08;-1.34202e-07
-0.343296;1.59577e-07;2.5812384000000003e-08;-1.33765e-07
-0.34222199999999997;1.5903e-07;2.5921760000000002e-08;-1.33108e-07
-0.341147;1.58593e-07;2.6140508e-08;-1.32452e-07
-0.34007299999999996;1.5804599999999998e-07;2.6249884000000003e-08;-1.31796e-07
-0.33899799999999997;1.57389e-07;2.6359258e-08;-1.3103e-07
-0.337924;1.56843e-07;2.668738e-08;-1.30155e-07
-0.336849;1.56186e-07;2.6578006000000003e-08;-1.29608e-07
-0.335775;1.5596799999999998e-07;2.668738e-08;-1.2928e-07
-0.3347;1.55421e-07;2.690613e-08;-1.28515e-07
-0.333626;1.54764e-07;2.6796756000000003e-08;-1.27968e-07
-0.332551;1.54764e-07;2.7015506000000003e-08;-1.27749e-07
-0.33147699999999997;1.5421799999999999e-07;2.712488e-08;-1.2709299999999999e-07
