Applied potential [V],WE current [A],WE current [A].1,WE current [A].2,WE current filtered [A] (15 Hz),WE current filtered [A] (5 Hz),WE current filtered [A] (2 Hz)
-0.4518189999999999,2.404926e-06,5.289349999999999e-07,-1.875991e-06,2.410139844551106e-06,2.4331308631786675e-06,2.1967262325930352e-06
-0.450744,2.407551e-06,5.57372e-07,-1.850179e-06,2.4137570690008963e-06,2.4466274426254206e-06,2.1688560445503972e-06
-0.4496699999999999,2.408426e-06,5.79247e-07,-1.829179e-06,2.410410921704361e-06,2.4563084103246507e-06,2.14488266131015e-06
-0.4485949999999999,2.404051e-06,6.03747e-07,-1.800304e-06,2.4051200974663433e-06,2.460917170806648e-06,2.1246739307151205e-06
-0.447521,2.409739e-06,6.22997e-07,-1.786742e-06,2.401890015323093e-06,2.4594187112589353e-06,2.108056599517822e-06
-0.4464459999999999,2.391364e-06,6.26497e-07,-1.764867e-06,2.4011429692884546e-06,2.451037475729026e-06,2.0948224034325428e-06
-0.445372,2.407551e-06,6.58434e-07,-1.749117e-06,2.400522398982211e-06,2.4352955330981593e-06,2.084734131678516e-06
-0.444297,2.394864e-06,6.57122e-07,-1.737742e-06,2.3976058227838937e-06,2.412049093399855e-06,2.0775315719492273e-06
-0.443223,2.393114e-06,6.59747e-07,-1.733367e-06,2.39205196995584e-06,2.3815189791072643e-06,2.0729372523213174e-06
-0.442148,2.393989e-06,6.68497e-07,-1.725492e-06,2.385187415506164e-06,2.3443089022842685e-06,2.07066190806979e-06
-0.4410739999999999,2.379989e-06,6.676219999999999e-07,-1.712367e-06,2.376788263447886e-06,2.301404748833257e-06,2.0704096133831652e-06
-0.439999,2.343239e-06,6.57122e-07,-1.686117e-06,2.361187861205654e-06,2.2541488023362436e-06,2.0718825302636754e-06
-0.4389249999999999,2.316989e-06,6.62372e-07,-1.654617e-06,2.3264428967963965e-06,2.2041850240320453e-06,2.074785239139742e-06
-0.437851,2.260552e-06,6.387469999999999e-07,-1.621805e-06,2.2593436760161455e-06,2.1533749649587784e-06,2.0788286275974713e-06
