Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A]
0.0;-4.011412e-06;0.0;-2.0752248e-05;-0.232981;-3.522903e-06;-0.232981;-8.23232e-05
-0.001000777;-3.720186e-06;-0.001000777;-2.1005898e-05;-0.233981;-5.336024e-06;-0.233981;-9.5015048e-05
-0.002001555;-3.475931e-06;-0.002001555;-2.0169796e-05;-0.234982;-5.185713e-06;-0.234982;-9.2901304e-05
-0.0030023330000000003;-3.335015e-06;-0.0030023330000000003;-1.9559158e-05;-0.235983;-5.035403e-06;-0.235983;-9.092848e-05
-0.004003111;-3.259859e-06;-0.004003111;-1.9061256e-05;-0.236984;-4.92267e-06;-0.236984;-8.955689599999999e-05
-0.005003889;-3.203493e-06;-0.005003889;-1.8704268e-05;-0.237984;-4.8287259999999995e-06;-0.237984;-8.80444e-05
-0.006004667;-3.156521e-06;-0.006004667;-1.8422433999999998e-05;-0.238985;-4.781754e-06;-0.238985;-8.7067376e-05
-0.007005445000000001;-3.128338e-06;-0.007005445000000001;-1.8149998e-05;-0.23998599999999998;-4.725388e-06;-0.23998599999999998;-8.6268848e-05
-0.008006223;-3.109549e-06;-0.008006223;-1.796211e-05;-0.24098699999999998;-4.697204e-06;-0.24098699999999998;-8.5235472e-05
-0.009007001;-3.0813659999999997e-06;-0.009007001;-1.7821193999999998e-05;-0.24198799999999998;-4.669021e-06;-0.24198799999999998;-8.4577856e-05
-0.010007779000000001;-3.071971e-06;-0.010007779000000001;-1.7670884e-05;-0.24298799999999998;-4.650232e-06;-0.24298799999999998;-8.3647816e-05
-0.011008557;-3.062577e-06;-0.011008557;-1.757694e-05;-0.24398899999999998;-4.640838e-06;-0.24398899999999998;-8.3027784e-05
-0.012009335000000001;-3.0531819999999998e-06;-0.012009335000000001;-1.7417234e-05;-0.24498999999999999;-4.6314429999999995e-06;-0.24498999999999999;-8.2304416e-05
-0.013010113;-3.034394e-06;-0.013010113;-1.7379656e-05;-0.245991;-4.622048e-06;-0.245991;-8.1346184e-05
-0.014010891000000001;-3.034394e-06;-0.014010891000000001;-1.7257528e-05;-0.246991;-4.622049e-06;-0.246991;-8.0735544e-05
-0.015011669000000002;-3.034394e-06;-0.015011669000000002;-1.7219952e-05;-0.247992;-4.6314429999999995e-06;-0.247992;-7.9824288e-05
-0.016012447000000003;-3.024999e-06;-0.016012447000000003;-1.7182372e-05;-0.248993;-4.6314429999999995e-06;-0.248993;-7.9091528e-05
-0.017013224;-3.024999e-06;-0.017013224;-1.7079034e-05;-0.249994;-4.6314429999999995e-06;-0.249994;-7.8246032e-05
-0.018014002;-3.015605e-06;-0.018014002;-1.7079034e-05;-0.25099499999999997;-4.640838e-06;-0.25099499999999997;-7.7240824e-05
-0.019014782;-3.015605e-06;-0.019014782;-1.7041458e-05;-0.25199499999999997;-4.640838e-06;-0.25199499999999997;-7.6461096e-05
-0.020015558000000003;-3.015605e-06;-0.020015558000000003;-1.7003877999999998e-05;-0.252996;-4.659627e-06;-0.252996;-7.5455888e-05
-0.021016336;-3.015605e-06;-0.021016336;-1.6985092e-05;-0.253997;-4.669021e-06;-0.253997;-7.4647968e-05
-0.022017114;-3.00621e-06;-0.022017114;-1.6938118e-05;-0.254998;-4.678415e-06;-0.254998;-7.370853599999999e-05
-0.023017892;-2.996816e-06;-0.023017892;-1.6956908e-05;-0.255998;-4.687809e-06;-0.255998;-7.25812e-05
-0.024018670000000002;-3.00621e-06;-0.024018670000000002;-1.6928724e-05;-0.256999;-4.715993e-06;-0.256999;-7.1679344e-05
-0.025019448000000003;-2.996816e-06;-0.025019448000000003;-1.6956908e-05;-0.258;-4.715993e-06;-0.258;-7.0514432e-05
-0.026020226;-2.996816e-06;-0.026020226;-1.6956908e-05;-0.259001;-4.734782e-06;-0.259001;-6.9509232e-05
-0.027021004;-3.00621e-06;-0.027021004;-1.6900542e-05;-0.260002;-4.744176e-06;-0.260002;-6.862615199999999e-05
-0.028021782000000002;-3.00621e-06;-0.028021782000000002;-1.6947512e-05;-0.261002;-4.762965e-06;-0.261002;-6.7404888e-05
-0.029022560000000003;-3.00621e-06;-0.029022560000000003;-1.6947513999999998e-05;-0.262003;-4.781754e-06;-0.262003;-6.648422799999999e-05
-0.030023338000000004;-2.996816e-06;-0.030023338000000004;-1.6975696e-05;-0.263004;-4.800543e-06;-0.263004;-6.5338112e-05
