Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A];Applied potential [V];WE current [A]
-0.06004667600000001;1.5876549999999999e-06;-0.06004667600000001;1.5660478e-05;-0.263004;4.678415e-06;-0.263004;6.3168008e-05
-0.059045896;3.541692e-06;-0.059045896;1.8422433999999998e-05;-0.262003;4.28385e-06;-0.262003;6.977227199999999e-05
-0.058045120000000006;3.513509e-06;-0.058045120000000006;1.8826394e-05;-0.261002;4.1993e-06;-0.261002;6.9264976e-05
-0.057044344000000004;3.457142e-06;-0.057044344000000004;1.9089438e-05;-0.260002;4.236878e-06;-0.260002;6.9105272e-05
-0.056043564000000004;3.400775e-06;-0.056043564000000004;1.9324298e-05;-0.259001;4.321428e-06;-0.259001;6.903950399999999e-05
-0.055042784000000004;3.3631979999999998e-06;-0.055042784000000004;1.9512188e-05;-0.258;4.415372e-06;-0.258;6.9264976e-05
-0.054042008;3.32562e-06;-0.054042008;1.958734e-05;-0.256999;4.499922e-06;-0.256999;6.976288e-05
-0.053041232;3.297437e-06;-0.053041232;1.9784624e-05;-0.255998;4.565682e-06;-0.255998;7.0138648e-05
-0.052040452;3.2692539999999998e-06;-0.052040452;1.9850384e-05;-0.254998;4.640838e-06;-0.254998;7.1012336e-05
-0.051039672;3.241071e-06;-0.051039672;1.9897358e-05;-0.253997;4.687809e-06;-0.253997;7.1416296e-05
-0.050038896000000006;3.222282e-06;-0.050038896000000006;1.9972512e-05;-0.252996;4.744176e-06;-0.252996;7.2055112e-05
-0.049038120000000004;3.203493e-06;-0.049038120000000004;2.0000696e-05;-0.25199499999999997;4.791148e-06;-0.25199499999999997;7.2740904e-05
-0.048037340000000005;3.184704e-06;-0.048037340000000005;2.0066455999999998e-05;-0.25099499999999997;4.847514e-06;-0.25099499999999997;7.3360936e-05
-0.047036564;3.165915e-06;-0.047036564;2.0066455999999998e-05;-0.249994;4.903881e-06;-0.249994;7.4065512e-05
-0.046035784;3.156521e-06;-0.046035784;2.0085246e-05;-0.248993;4.941458e-06;-0.248993;7.4629184e-05
-0.045035004000000003;3.1471259999999998e-06;-0.045035004000000003;2.0075852e-05;-0.247992;4.997825e-06;-0.247992;7.5239824e-05
-0.044034228;3.128338e-06;-0.044034228;2.0085246e-05;-0.246991;5.044797e-06;-0.246991;7.5869248e-05
-0.043033452;3.118943e-06;-0.043033452;2.0113428e-05;-0.245991;5.091769e-06;-0.245991;7.6423512e-05
-0.042032672;3.100154e-06;-0.042032672;2.0113428e-05;-0.24498999999999999;5.15753e-06;-0.24498999999999999;7.7118704e-05
-0.041031892;3.100154e-06;-0.041031892;2.0104036e-05;-0.24398899999999998;5.2045019999999995e-06;-0.24398899999999998;7.7306592e-05
-0.040031116000000005;3.09076e-06;-0.040031116000000005;2.009464e-05;-0.24298799999999998;5.260868e-06;-0.24298799999999998;7.769176e-05
-0.039030340000000004;3.081365e-06;-0.039030340000000004;2.0075852e-05;-0.24198799999999998;5.326629e-06;-0.24198799999999998;7.8133296e-05
-0.038029564;3.071971e-06;-0.038029564;2.0104034e-05;-0.24098699999999998;5.4017849999999995e-06;-0.24098699999999998;7.8452712e-05
-0.037028784;3.062577e-06;-0.037028784;2.0085246e-05;-0.23998599999999998;5.467546e-06;-0.23998599999999998;7.8913032e-05
-0.036028004;3.0531819999999998e-06;-0.036028004;2.0094638e-05;-0.238985;5.552095e-06;-0.238985;7.8988192e-05
-0.035027228;3.0531819999999998e-06;-0.035027228;2.0066458e-05;-0.237984;5.617856e-06;-0.237984;7.9082136e-05
-0.034026448;3.043788e-06;-0.034026448;2.0047668e-05;-0.236984;5.7118e-06;-0.236984;7.9345176e-05
-0.03302567;3.043788e-06;-0.03302567;2.0066458e-05;-0.235983;5.79635e-06;-0.235983;7.9486088e-05
-0.032024894000000005;3.034394e-06;-0.032024894000000005;2.0066455999999998e-05;-0.234982;5.899688e-06;-0.234982;7.9767928e-05
-0.031024116;3.034394e-06;-0.031024116;2.0057062e-05;-0.233981;5.993632e-06;-0.233981;7.9627008e-05
-0.030023338000000004;3.024999e-06;-0.030023338000000004;2.0038274e-05;-0.232981;6.106365e-06;-0.232981;7.9645792e-05
