Applied potential [V];WE current [A]
0.0;-1.6693864e-05
-0.001000777;-1.8056054e-05
-0.002001555;-1.7896347999999998e-05
-0.0030023330000000003;-1.772725e-05
-0.004003111;-1.7548756e-05
-0.005003889;-1.7417232e-05
-0.006004667;-1.7285712e-05
-0.007005445000000001;-1.7126005999999998e-05
-0.008006223;-1.7050852e-05
-0.009007001;-1.6909934e-05
-0.010007779000000001;-1.6862964e-05
-0.011008557;-1.6759624e-05
-0.012009335000000001;-1.6665681e-05
-0.013010113;-1.6618709e-05
-0.014010891000000001;-1.6543554e-05
-0.015011669000000002;-1.6496582e-05
-0.016012447000000003;-1.6459003e-05
-0.017013224;-1.6412032e-05
-0.018014002;-1.636506e-05
-0.019014782;-1.6318088e-05
-0.020015558000000003;-1.6299299999999998e-05
-0.021016336;-1.6271116e-05
-0.022017114;-1.6242933e-05
-0.023017892;-1.6214749e-05
-0.024018670000000002;-1.6186566e-05
-0.025019448000000003;-1.6205356e-05
-0.026020226;-1.6177173e-05
-0.027021004;-1.6167776e-05
-0.028021782000000002;-1.6195959e-05
-0.029022560000000003;-1.6167776e-05
-0.030023338000000004;-1.6186566e-05
-0.031024116;-1.6167778e-05
-0.032024894000000005;-1.6177171e-05
-0.03302567;-1.6195959e-05
-0.034026448;-1.6186566e-05
-0.035027228;-1.6214749e-05
-0.036028004;-1.6252325999999998e-05
-0.037028784;-1.6242933e-05
-0.038029564;-1.628051e-05
-0.039030340000000004;-1.6289905e-05
-0.040031116000000005;-1.6327483e-05
-0.041031892;-1.636506e-05
-0.042032672;-1.6383848e-05
-0.043033452;-1.6421427e-05
-0.044034228;-1.644961e-05
-0.045035004000000003;-1.651537e-05
-0.046035784;-1.6581129999999998e-05
-0.047036564;-1.6599919999999998e-05
-0.048037340000000005;-1.6665681e-05
-0.049038120000000004;-1.6703257e-05
-0.050038896000000006;-1.6834782e-05
-0.051039672;-1.6891146e-05
-0.052040452;-1.6947512e-05
-0.053041232;-1.7032064e-05
-0.054042008;-1.7088428e-05
-0.055042784000000004;-1.7229346e-05
-0.056043564000000004;-1.7323288e-05
-0.057044344000000004;-1.7417232e-05
-0.058045120000000006;-1.7539362e-05
-0.059045896;-1.762391e-05
-0.06004667600000001;-1.7783614e-05
-0.061047452;-1.7896347999999998e-05
-0.062048232;-1.800908e-05
-0.063049012;-1.8168788e-05
-0.06404978800000001;-1.8300308e-05
-0.065050564;-1.8488194e-05
-0.06605134;-1.8638508e-05
-0.06705212;-1.8798212e-05
-0.068052896;-1.8976706e-05
-0.06905368;-1.9164594e-05
-0.070054456;-1.9399454e-05
-0.07105523200000001;-1.9596738e-05
-0.072056008;-1.9794018e-05
-0.073056784;-2.0057062e-05
-0.074057568;-2.026374e-05
-0.075058344;-2.056436e-05
-0.076059128;-2.0818007999999998e-05
-0.077059904;-2.1062263999999998e-05
-0.07806068000000001;-2.1381676e-05
-0.079061456;-2.1682296e-05
-0.08006223200000001;-2.20111e-05
-0.081063008;-2.2349298e-05
-0.082063784;-2.2687495999999998e-05
-0.083064568;-2.3063272e-05
-0.084065344;-2.3410868e-05
-0.085066128;-2.3843008e-05
-0.086066904;-2.4246969999999998e-05
-0.08706768000000001;-2.467911e-05
-0.088068456;-2.5139438e-05
-0.08906923200000001;-2.5590368e-05
-0.09007000800000001;-2.612585e-05
-0.09107079200000001;-2.6595569999999998e-05
-0.092071568;-2.7112262e-05
-0.093072344;-2.7666532e-05
-0.094073128;-2.819262e-05
-0.095073904;-2.8840834e-05
-0.09607468000000001;-2.94045e-05
-0.097075456;-3.0005741999999998e-05
-0.09807624000000001;-3.0653954e-05
-0.099077016;-3.1292776e-05
-0.10007779200000001;-3.1997358e-05
-0.10107856800000001;-3.273012e-05
-0.102079344;-3.3462884e-05
-0.10308012000000001;-3.4148676e-05
-0.104080904;-3.4890832e-05
-0.105081688;-3.5736332e-05
-0.106082464;-3.6469096e-05
-0.10708324000000001;-3.7277016e-05
-0.108084016;-3.8122508e-05
-0.109084792;-3.8930428e-05
-0.11008556800000001;-3.978532e-05
-0.111086344;-4.0630816e-05
-0.11208712800000001;-4.14951e-05
-0.113087904;-4.2368783999999996e-05
-0.11408868800000001;-4.3214279999999996e-05
-0.115089464;-4.4172508e-05
-0.11609024000000001;-4.5074368e-05
-0.117091016;-4.5985631999999996e-05
-0.118091792;-4.6925072e-05
-0.119092576;-4.7732988e-05
-0.12009335200000001;-4.869122e-05
-0.12109412800000001;-4.9611876e-05
-0.122094904;-5.0429184e-05
-0.12309568000000001;-5.1424992e-05
-0.124096464;-5.22517e-05
-0.125097248;-5.3238112e-05
-0.126098024;-5.407422e-05
-0.1270988;-5.4891532e-05
-0.12809957600000002;-5.5840363999999996e-05
-0.129100352;-5.6582524e-05
-0.130101128;-5.7503175999999996e-05
-0.13110190400000002;-5.827352e-05
-0.13210268;-5.9090832e-05
-0.133103464;-5.994572e-05
-0.13410424;-6.06503e-05
-0.135105;-6.1477008e-05
-0.136105;-6.2219164e-05
-0.137106;-6.294254e-05
-0.138107;-6.36753e-05
-0.13910799999999998;-6.4267148e-05
-0.14010799999999998;-6.5084464e-05
-0.14110899999999998;-6.5751468e-05
-0.14211;-6.632451999999999e-05
-0.143111;-6.6982136e-05
-0.144112;-6.7527008e-05
-0.145112;-6.8184616e-05
-0.146113;-6.8767064e-05
-0.147114;-6.928375999999999e-05
-0.148115;-6.983804e-05
-0.149115;-7.0345328e-05
-0.150116;-7.0890216e-05
-0.151117;-7.140690399999999e-05
-0.152118;-7.182964799999999e-05
-0.153119;-7.2299368e-05
-0.154119;-7.272212e-05
-0.15511999999999998;-7.3220016e-05
-0.15612099999999998;-7.3567616e-05
-0.15712199999999998;-7.393399199999999e-05
-0.15812199999999998;-7.436614399999999e-05
-0.159123;-7.4704344e-05
-0.160124;-7.5155264e-05
-0.161125;-7.5531048e-05
-0.162126;-7.5756512e-05
-0.163126;-7.6094704e-05
-0.164127;-7.6404728e-05
-0.165128;-7.6780504e-05
-0.166129;-7.7128096e-05
-0.167129;-7.7325376e-05
-0.16813;-7.7635392e-05
-0.169131;-7.779509599999999e-05
-0.170132;-7.8105112e-05
-0.17113299999999998;-7.8302392e-05
-0.17213299999999998;-7.8480888e-05
-0.17313399999999998;-7.8734536e-05
-0.17413499999999998;-7.8809688e-05
-0.175136;-7.903516e-05
-0.176136;-7.9213656e-05
-0.177137;-7.9232448e-05
-0.178138;-7.9401536e-05
-0.179139;-7.9420328e-05
-0.18014;-7.9608224e-05
-0.18114;-7.9683376e-05
-0.182141;-7.9608224e-05
-0.183142;-7.9711552e-05
-0.184143;-7.9617616e-05
-0.185143;-7.9664584e-05
-0.186144;-7.9692768e-05
-0.18714499999999998;-7.9542464e-05
-0.18814599999999998;-7.9580032e-05
-0.18914699999999998;-7.9288808e-05
-0.19014699999999998;-7.9279416e-05
-0.19114799999999998;-7.9194864e-05
-0.192149;-7.9053952e-05
-0.19315;-7.8988192e-05
-0.19415;-7.8640592e-05
-0.195151;-7.8612408e-05
-0.196152;-7.840573599999999e-05
-0.197153;-7.809572e-05
-0.198154;-7.79642e-05
-0.199154;-7.7579032e-05
-0.200155;-7.7560232e-05
-0.201156;-7.7231432e-05
-0.202157;-7.702476e-05
-0.203157;-7.6827472e-05
-0.20415799999999998;-7.6442304e-05
-0.20515899999999998;-7.6395336e-05
-0.20615999999999998;-7.614168e-05
-0.20716099999999998;-7.587864e-05
